폴드,표본,모델,ROC-AUC(후보내),PR-AUC(후보내),Hit@3(후보내),Recall@3(후보내),Hit@3(전체),Recall@3(전체),평가 Event 수(후보내),평가 Event 수(전체),테스트 Event 수,양성률
2024-07~2024-12,충분,기준선 무작위,0.5,0.06085526315789474,0.23690421899937975,0.1195823645069963,0.2072911916244573,0.10258010255211232,14,16,18,0.06085526315789474
2024-07~2024-12,충분,기준선 초기민원수 상위3,0.7543427841151135,0.3301654184707724,0.8571428571428571,0.5364285714285714,0.75,0.45999999999999996,14,16,18,0.06085526315789474
2024-07~2024-12,충분,기준선 prior만,0.8360155251573815,0.2436289738428648,0.8571428571428571,0.5726190476190476,0.75,0.4895833333333333,14,16,18,0.06085526315789474
2024-07~2024-12,충분,XGB 기존15변수(LOO prior),0.8588535996592039,0.2854079394316234,0.8571428571428571,0.5726190476190476,0.75,0.4895833333333333,14,16,18,0.06085526315789474
2024-07~2024-12,충분,XGB 15변수+이력,0.8840819804042221,0.3000445302090974,0.8571428571428571,0.5547619047619047,0.75,0.4739583333333333,14,16,18,0.06085526315789474
2025-01~2025-06,작음(참고용),기준선 무작위,0.5,0.05555555555555555,0.16666666666666663,0.16666666666666666,0.16666666666666663,0.08333333333333333,1,1,1,0.05555555555555555
2025-01~2025-06,작음(참고용),기준선 초기민원수 상위3,0.4411764705882353,0.05555555555555555,0.0625,0.0625,0.0625,0.03125,1,1,1,0.05555555555555555
2025-01~2025-06,작음(참고용),기준선 prior만,0.3529411764705882,0.08333333333333333,0.0,0.0,0.0,0.0,1,1,1,0.05555555555555555
2025-01~2025-06,작음(참고용),XGB 기존15변수(LOO prior),0.47058823529411764,0.1,0.0,0.0,0.0,0.0,1,1,1,0.05555555555555555
2025-01~2025-06,작음(참고용),XGB 15변수+이력,0.4117647058823529,0.09090909090909091,0.0,0.0,0.0,0.0,1,1,1,0.05555555555555555
2025-07~2025-12,작음(참고용),기준선 무작위,0.5,0.06371191135734072,0.21313476120801272,0.09386909185442503,0.21313476120801272,0.09386909185442503,9,9,11,0.06371191135734072
2025-07~2025-12,작음(참고용),기준선 초기민원수 상위3,0.798559300231541,0.2665057034018923,0.6990740740740741,0.46064814814814814,0.6990740740740741,0.46064814814814814,9,9,11,0.06371191135734072
2025-07~2025-12,작음(참고용),기준선 prior만,0.784795472086442,0.20900331518960755,0.4444444444444444,0.24074074074074073,0.4444444444444444,0.24074074074074073,9,9,11,0.06371191135734072
2025-07~2025-12,작음(참고용),XGB 기존15변수(LOO prior),0.8489837921276048,0.3221186902277887,0.5555555555555556,0.35185185185185186,0.5555555555555556,0.35185185185185186,9,9,11,0.06371191135734072
2025-07~2025-12,작음(참고용),XGB 15변수+이력,0.8520710059171597,0.3249391047082761,0.6666666666666666,0.462962962962963,0.6666666666666666,0.462962962962963,9,9,11,0.06371191135734072
2026-01~2026-06,작음(참고용),기준선 무작위,0.5,0.047619047619047616,0.1428571428571429,0.14285714285714285,0.1428571428571429,0.14285714285714285,1,1,1,0.047619047619047616
2026-01~2026-06,작음(참고용),기준선 초기민원수 상위3,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,0.047619047619047616
2026-01~2026-06,작음(참고용),기준선 prior만,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,0.047619047619047616
2026-01~2026-06,작음(참고용),XGB 기존15변수(LOO prior),1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,0.047619047619047616
2026-01~2026-06,작음(참고용),XGB 15변수+이력,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,0.047619047619047616
2026-07~2026-07,작음(참고용),기준선 무작위,0.5,0.024390243902439025,0.07317073170731703,0.07317073170731707,0.07317073170731703,0.036585365853658534,1,1,1,0.024390243902439025
2026-07~2026-07,작음(참고용),기준선 초기민원수 상위3,0.925,0.16666666666666666,0.4,0.4,0.4,0.2,1,1,1,0.024390243902439025
2026-07~2026-07,작음(참고용),기준선 prior만,0.725,0.08333333333333333,0.0,0.0,0.0,0.0,1,1,1,0.024390243902439025
2026-07~2026-07,작음(참고용),XGB 기존15변수(LOO prior),0.65,0.06666666666666667,0.0,0.0,0.0,0.0,1,1,1,0.024390243902439025
2026-07~2026-07,작음(참고용),XGB 15변수+이력,0.75,0.09090909090909091,0.0,0.0,0.0,0.0,1,1,1,0.024390243902439025
