event_hour,event_id,asos_blowing_to_deg,asos_wind_speed_3h,asos_rain_3h,asos_direction_sd,asos_stagnation_flag,asos_source
2020-08-15 23:00:00,EVT-0081,304.9381473903932,1.1800599820789515,0.0,68.17542083219226,1.0,asos
2020-08-16 23:00:00,EVT-0082,95.52025562352713,0.9348018368612647,0.0,46.57835791845606,1.0,asos
2020-08-17 00:00:00,EVT-0083,335.0627070040821,0.7986241109075372,0.0,78.88264041208126,1.0,asos
2020-08-17 01:00:00,EVT-0084,324.34093096793373,0.922959847726169,0.0,47.187463174708846,1.0,asos
2020-08-17 05:00:00,EVT-0085,311.50717917656164,0.8793042720244548,0.0,52.86277821199911,1.0,asos
2020-08-19 06:00:00,EVT-0086,277.7408930376508,0.3047480666955736,0.0,29.352862505117837,1.0,asos
2020-08-19 07:00:00,EVT-0087,264.7375653545738,0.3604984043062121,0.0,29.514251487154954,1.0,asos
2020-08-20 01:00:00,EVT-0088,54.91876091866823,0.6318607575730145,0.0,14.111952366872584,1.0,asos
2020-08-22 20:00:00,EVT-0089,154.19202541996503,1.4165751446268355,0.0,22.796398906247948,0.0,asos
2020-08-22 22:00:00,EVT-0090,186.83523777107237,0.769906268287989,0.0,26.22515278333232,1.0,asos
2020-08-28 17:00:00,EVT-0092,117.68223440328092,2.7289924997150594,0.0,70.19738743275222,1.0,asos
2020-08-29 17:00:00,EVT-0093,355.5072391629171,2.2326118023849775,9.650984237600849,39.52177565574091,0.0,asos
2020-08-31 02:00:00,EVT-0095,304.60353985391254,0.42669102963301697,0.0,69.18049562561256,1.0,asos
2020-09-03 21:00:00,EVT-0096,35.568206605009664,2.956072006849214,0.0,16.763111039814458,0.0,asos
2020-09-03 23:00:00,EVT-0097,358.80397151890185,2.3005878785583906,0.0,9.444082306679487,0.0,asos
2020-09-04 22:00:00,EVT-0098,281.99130075589466,0.8801206464651301,0.0,61.98038001223699,1.0,asos
2020-09-11 10:00:00,EVT-0099,273.53303918789317,1.6840070456928886,0.0,41.982371012664466,0.0,asos
2020-09-17 08:00:00,EVT-0100,330.0373690509832,0.6320989645728078,0.0,46.23400613704614,1.0,asos
2020-09-18 21:00:00,EVT-0101,79.10902687025634,1.5,0.0,57.91064389983168,1.0,asos
2020-09-18 22:00:00,EVT-0102,350.8275678209518,1.3009340631064197,0.0,65.77254719430836,1.0,asos
2020-09-19 22:00:00,EVT-0103,81.70580121485114,1.2199174471184262,0.0,49.46539600993572,1.0,asos
2020-09-21 22:00:00,EVT-0104,291.4684928079331,1.0793625116714058,0.0,45.07289822166703,1.0,asos
2020-10-01 21:00:00,EVT-0105,32.70111645712086,0.8224548121223059,0.0,47.56262590509655,1.0,asos
2020-10-02 00:00:00,EVT-0106,324.3893669303617,1.4470904384635772,0.0,9.545285539883679,0.0,asos
2021-06-06 19:00:00,EVT-0107,85.41519529019348,2.599657522802767,0.0,26.760927000376277,0.0,asos
2021-06-09 19:00:00,EVT-0108,55.97384647545567,2.8206284270487867,0.0,7.33916738899238,0.0,asos
2021-06-09 20:00:00,EVT-0109,65.41817506001661,2.7645467071736,0.0,13.751891688734485,0.0,asos
2021-06-09 21:00:00,EVT-0110,71.81782718374467,2.283274865956379,0.0,40.00764612652799,0.0,asos
2021-06-09 23:00:00,EVT-0111,245.76796249458252,0.8003645116072542,0.0,54.44857829645997,1.0,asos
2021-06-28 23:00:00,EVT-0113,303.8969475656838,0.8865701663773617,0.0,34.53813179529953,1.0,asos
2021-07-07 23:00:00,EVT-0114,339.4782526751112,0.9417481308479061,0.0,54.15977473134237,1.0,asos
2021-07-08 00:00:00,EVT-0115,345.68001270969967,0.7448205079921432,0.4569230950294633,30.996616910723226,1.0,asos
2021-07-14 21:00:00,EVT-0116,326.32180680350814,1.3713927688851522,0.0,20.90104969360962,0.0,asos
2021-07-14 22:00:00,EVT-0117,316.0890884113417,1.1074860223373006,0.0,11.51321232180824,0.0,asos
2021-07-14 23:00:00,EVT-0118,321.5053608194315,0.8575675334540036,0.0,48.825255398691745,1.0,asos
2021-07-15 00:00:00,EVT-0119,330.0908839933622,0.8689788188764571,0.0,36.09361472844507,1.0,asos
2021-07-20 22:00:00,EVT-0120,279.60247253177255,0.9990961532445308,0.0,12.269616874015469,1.0,asos
2021-07-20 23:00:00,EVT-0121,282.13758572649294,1.0034598566781314,0.0,8.322649509160467,0.0,asos
2021-07-21 00:00:00,EVT-0122,272.13452176045223,1.106175945941469,0.0,17.66322113563008,0.0,asos
2021-07-23 23:00:00,EVT-0123,293.6877865105076,1.0705401088203468,0.0,28.331786969691088,0.0,asos
2021-07-25 21:00:00,EVT-0124,294.7900509321346,1.6169835436198896,0.0,12.353209791413754,0.0,asos
2021-07-25 22:00:00,EVT-0125,302.62372064380486,1.610794479130783,0.0,14.196258980251022,0.0,asos
2021-07-26 21:00:00,EVT-0126,317.64716907721294,1.1053873996957329,0.0,58.00488667819292,1.0,asos
2021-08-04 23:00:00,EVT-0127,103.35002700345257,1.34064636654435,1.5431944698469038,42.05619653652492,0.0,asos
2021-08-05 00:00:00,EVT-0128,33.28141995610366,1.0390649158276222,1.5495804906506447,95.28074017931355,1.0,asos
2021-08-05 23:00:00,EVT-0130,231.8703281914601,1.193987675393591,0.0,15.087027830015632,0.0,asos
2021-08-12 21:00:00,EVT-0131,277.75416697336675,1.310494583104627,0.0,24.931834842576123,0.0,asos
2021-08-14 22:00:00,EVT-0132,260.6041128698048,1.0654763729237442,0.0,14.409548468612574,0.0,asos
2021-08-19 21:00:00,EVT-0134,344.9761166072088,1.1001700588047179,0.0,41.40260040590905,0.0,asos
2021-08-20 20:00:00,EVT-0135,336.8881195586528,2.033333333333333,0.0,13.556344063913734,0.0,asos
2021-08-31 21:00:00,EVT-0136,8.058796735946885,1.3243245876530811,0.3244987304657699,65.65508975317209,1.0,asos
2021-08-31 22:00:00,EVT-0137,345.0908835111485,1.7699572533400914,0.4918600596617042,57.51830393651526,1.0,asos
