폴드,표본,모델,ROC-AUC(후보내),PR-AUC(후보내),Hit@3(후보내),Recall@3(후보내),Hit@3(전체),Recall@3(전체),평가 Event 수(후보내),평가 Event 수(전체),테스트 Event 수,양성률
2024-01~2024-06,작음(참고용),XGB 기존15변수(LOO prior),0.9942528735632183,0.8875,1.0,1.0,0.8,0.8,4,5,6,0.04395604395604396
2024-01~2024-06,작음(참고용),XGB 15변수+이력,0.9913793103448275,0.8041666666666667,1.0,1.0,0.8,0.8,4,5,6,0.04395604395604396
2024-07~2024-12,충분,기준선 무작위,0.5,0.0420032310177706,0.17139069932434334,0.14929274998592215,0.16322923745175555,0.140253069484662,20,21,25,0.0420032310177706
2024-07~2024-12,충분,기준선 초기민원수 상위3,0.7858671682449085,0.4693867605629213,0.7341666666666666,0.6654166666666667,0.6992063492063492,0.609920634920635,20,21,25,0.0420032310177706
2024-07~2024-12,충분,기준선 prior만,0.832014528473213,0.12890008601828082,0.65,0.5583333333333333,0.6190476190476191,0.5317460317460317,20,21,25,0.0420032310177706
2024-07~2024-12,충분,XGB 기존15변수(LOO prior),0.8928525100531846,0.2339823074209732,0.75,0.675,0.7142857142857143,0.6190476190476191,20,21,25,0.0420032310177706
2024-07~2024-12,충분,XGB 15변수+이력,0.9173693086003372,0.4250643532171135,0.7,0.6333333333333333,0.6666666666666666,0.5793650793650793,20,21,25,0.0420032310177706
2025-01~2025-06,작음(참고용),기준선 무작위,,,,,,,0,0,2,0.0
2025-01~2025-06,작음(참고용),기준선 초기민원수 상위3,,,,,,,0,0,2,0.0
2025-01~2025-06,작음(참고용),기준선 prior만,,,,,,,0,0,2,0.0
2025-01~2025-06,작음(참고용),XGB 기존15변수(LOO prior),,,,,,,0,0,2,0.0
2025-01~2025-06,작음(참고용),XGB 15변수+이력,,,,,,,0,0,2,0.0
2025-07~2025-12,작음(참고용),기준선 무작위,0.5,0.03508771929824561,0.1716095692732315,0.1100788206101299,0.1716095692732315,0.1100788206101299,5,5,8,0.03508771929824561
2025-07~2025-12,작음(참고용),기준선 초기민원수 상위3,0.6321022727272727,0.06359649122807018,0.575,0.4291666666666667,0.575,0.4291666666666667,5,5,8,0.03508771929824561
2025-07~2025-12,작음(참고용),기준선 prior만,0.6161931818181818,0.06510256731912899,0.2,0.2,0.2,0.2,5,5,8,0.03508771929824561
2025-07~2025-12,작음(참고용),XGB 기존15변수(LOO prior),0.7477272727272728,0.07414098779092122,0.2,0.1,0.2,0.1,5,5,8,0.03508771929824561
2025-07~2025-12,작음(참고용),XGB 15변수+이력,0.7204545454545455,0.08489185320381273,0.4,0.3,0.4,0.3,5,5,8,0.03508771929824561
2026-01~2026-06,작음(참고용),기준선 무작위,0.5,0.03333333333333333,0.17112299465240643,0.08823529411764706,0.17112299465240643,0.08823529411764706,1,1,2,0.03333333333333333
2026-01~2026-06,작음(참고용),기준선 초기민원수 상위3,0.978448275862069,0.45,1.0,1.0,1.0,1.0,1,1,2,0.03333333333333333
2026-01~2026-06,작음(참고용),기준선 prior만,0.956896551724138,0.6428571428571428,1.0,0.5,1.0,0.5,1,1,2,0.03333333333333333
2026-01~2026-06,작음(참고용),XGB 기존15변수(LOO prior),0.9913793103448275,0.8333333333333333,1.0,1.0,1.0,1.0,1,1,2,0.03333333333333333
2026-01~2026-06,작음(참고용),XGB 15변수+이력,0.9741379310344829,0.5,1.0,1.0,1.0,1.0,1,1,2,0.03333333333333333
2026-07~2026-07,작음(참고용),기준선 무작위,0.5,0.016129032258064516,0.07317073170731703,0.07317073170731707,0.07317073170731703,0.036585365853658534,1,1,2,0.016129032258064516
2026-07~2026-07,작음(참고용),기준선 초기민원수 상위3,0.9262295081967213,0.125,0.4,0.4,0.4,0.2,1,1,2,0.016129032258064516
2026-07~2026-07,작음(참고용),기준선 prior만,0.639344262295082,0.041666666666666664,0.0,0.0,0.0,0.0,1,1,2,0.016129032258064516
2026-07~2026-07,작음(참고용),XGB 기존15변수(LOO prior),0.8360655737704918,0.09090909090909091,0.0,0.0,0.0,0.0,1,1,2,0.016129032258064516
2026-07~2026-07,작음(참고용),XGB 15변수+이력,0.9016393442622951,0.14285714285714285,0.0,0.0,0.0,0.0,1,1,2,0.016129032258064516
