순번,업체명,소재지,신고일자,영업상태,사육업종,등록허가여부,시설면적(제곱미터),사육두수,데이터기준일자
79,연옥농장,전북특별자치도 익산시 웅포면 대붕암리 105번지  ,2005-05-03,정상,한우,허가대상,1132.71,60,2024-12-31
80,김O중농장,전북특별자치도 익산시 함열읍 석매리 887번지 135호  ,2005-05-13,정상,한우,허가대상,352.8,40,2024-12-31
81,인정목장,"전북특별자치도 익산시 함열읍 석매리 1229번지 10호 외1229-9,1229-13,1229-14 ",2005-05-13,정상,육우,허가대상,650,46,2024-12-31
82,한얼팜스2,"전북특별자치도 익산시 낭산면 용기리 1509번지 54호 ,-56,-17, -51 ",2005-05-18,정상,돼지,허가대상,553.71,420,2024-12-31
83,진규농장,전북특별자치도 익산시 낭산면 용기리 1509번지 15호  ,2005-05-18,정상,돼지,등록대상 ,150.02,50,2024-12-31
84,금실(Farm)제2농장,"전북특별자치도 익산시 함열읍 석매리 116번지 60호 , -61, -79 ",2005-05-18,정상,돼지,허가대상,624.33,1000,2024-12-31
85,정민농장,전북특별자치도 익산시 함열읍 석매리 116번지 52호 외 1필지 ,2005-05-18,정상,돼지,허가대상,1135.2,1000,2024-12-31
86,세안농장,전북특별자치도 익산시 함열읍 석매리 116번지 59호  ,2005-05-18,정상,돼지,허가대상,347.8,200,2024-12-31
87,덕진농장,전북특별자치도 익산시 함열읍 석매리 116번지 53호  ,2005-05-18,정상,돼지,허가대상,531.56,0,2024-12-31
88,순남농장,전북특별자치도 익산시 낭산면 용기리 1509번지 14호  ,2005-05-18,정상,돼지,등록대상 ,115.4,50,2024-12-31
89,순자농장,전북특별자치도 익산시 함열읍 석매리 116번지 63호  ,2005-05-18,정상,돼지,등록대상 ,199.29,100,2024-12-31
90,세안농장,전북특별자치도 익산시 함열읍 석매리 116-56번지외 1 ,2005-05-18,정상,돼지,허가대상,472.84,250,2024-12-31
91,두준농장,전북특별자치도 익산시 낭산면 용기리 1509-16번지 ,2005-05-18,정상,돼지,허가대상,178.89,100,2024-12-31
92,한열농장,전북특별자치도 익산시 낭산면 용기리 1403번지 82호  ,2005-05-18,정상,돼지,등록대상 ,214.26,150,2024-12-31
93,농업회사법인 함박농장 주식회사,"전북특별자치도 익산시 망성면 신작리 664번지 660, 602-6, 663-4, -6,  665, -1, 667-2, -6, 670-3, 1302 ",2005-05-18,정상,돼지,허가대상,4987.88,5000,2024-12-31
94,덕진 농장,"전북특별자치도 익산시 함열읍 석매리 118번지 42호 -21,-44,-45,-46,-48 ",2005-05-18,정상,돼지,허가대상,989.46,900,2024-12-31
95,한얼팜스,"전북특별자치도 익산시 함열읍 석매리 118번지 31호 ,-32,-33,-34 ",2005-05-18,정상,돼지,허가대상,596.99,900,2024-12-31
96,삼권농장,전북특별자치도 익산시 함열읍 석매리 116번지 62호  ,2005-05-18,정상,돼지,등록대상 ,340,300,2024-12-31
97,덕진농장,전북특별자치도 익산시 함열읍 석매리 117번지 13호  ,2005-05-18,정상,돼지,허가대상,197.38,0,2024-12-31
98,상일농장,전북특별자치도 익산시 낭산면 용기리 1509번지 58호  ,2005-06-15,정상,돼지,등록대상 ,795.5,400,2024-12-31
99,흥일농장,전북특별자치도 익산시 금마면 용순리 467번지 1호  ,2005-06-15,정상,돼지,등록대상 ,3826.68,1800,2024-12-31
100,공O호농장,전북특별자치도 익산시 용안면 교동리 385번지 외 386 ,2005-06-15,정상,한우,허가대상,302.56,100,2024-12-31
101,한얼팜스,"전북특별자치도 익산시 낭산면 용기리 산 108번지 32호 1403-123, 1403-150, 산108-2 ",2005-06-15,정상,돼지,허가대상,1468.8,1700,2024-12-31
102,금실(Farm)제1농장,"전북특별자치도 익산시 낭산면 용기리 1509번지 57호 ,-20,-74,-60, 함열읍 석매리 117-26,-18 ",2005-06-15,정상,돼지,허가대상,1325.77,1600,2024-12-31
103,홍O규농장,"전북특별자치도 익산시 용안면 창리 362번지 2호 , 365-2 ",2005-06-17,정상,한우,허가대상,629.32,92,2024-12-31
104,청솔목장,전북특별자치도 익산시 용안면 덕용리 209번지  ,2005-06-17,정상,한우,등록대상 ,858.5,60,2024-12-31
105,세안농장,전북특별자치도 익산시 함열읍 석매리 116번지 44호  ,2005-07-21,정상,돼지,허가대상,364.03,50,2024-12-31
106,2농장,전북특별자치도 익산시 낭산면 용기리 1509번지 51호  ,2005-07-21,정상,돼지,등록대상 ,163.66,150,2024-12-31
107,한얼팜스,전북특별자치도 익산시 낭산면 용기리 1403번지 84호  ,2005-07-21,정상,돼지,허가대상,192.4,80,2024-12-31
108,현농장,전북특별자치도 익산시 왕궁면 흥암리 674번지 13호  ,2005-07-21,정상,한우,허가대상,1540.74,1030,2024-12-31
109,참새 고을농장,전북특별자치도 익산시 성당면 와초리 354번지 갈산리 425-6 외1필지 ,2005-07-29,정상,육계,허가대상,3921.5,50000,2024-12-31
110,유O현 농장,전북특별자치도 익산시 성당면 장선리 산 26번지  ,2005-08-01,정상,젖소,등록대상 ,1080,52,2024-12-31
111,하O석 농장,전북특별자치도 익산시 성당면 성당리 391번지  ,2005-08-01,정상,한우,허가대상,516,36,2024-12-31
112,윤O하 농장,전북특별자치도 익산시 성당면 장선리 494번지 8호  ,2005-08-01,정상,한우,허가대상,723.62,40,2024-12-31
113,두동 한우 농장,전북특별자치도 익산시 성당면 두동리 463번지  ,2005-08-01,정상,한우,등록대상 ,891,80,2024-12-31
114,조O만 농장,전북특별자치도 익산시 성당면 두동리 628번지 1호  ,2005-08-01,정상,한우,허가대상,900,78,2024-12-31
115,홍O만농장,"전북특별자치도 익산시 금마면 서고도리 186번지 ,185-1 ",2005-08-04,정상,한우,허가대상,236,26,2024-12-31
116,김O규농장,전북특별자치도 익산시 금마면 용순리 473번지  ,2005-08-04,정상,한우,허가대상,1380,72,2024-12-31
117,소O창농장,전북특별자치도 익산시 금마면 동고도리 277번지 1호  ,2005-08-04,정상,한우,등록대상 ,864,20,2024-12-31
118,황O선 농장,전북특별자치도 익산시 성당면 대선리 112번지 2호  ,2005-08-10,정상,육계,허가대상,2155.69,3000,2024-12-31
119,진성농장,전북특별자치도 익산시 성당면 장선리 91번지 12호  ,2005-08-10,정상,육계,허가대상,4670.1,70000,2024-12-31
120,김O묵 농장,전북특별자치도 익산시 성당면 대선리 327번지 1호 외2 ,2005-08-10,정상,돼지,허가대상,879,650,2024-12-31
121,대성 농장,"전북특별자치도 익산시 성당면 대선리 606번지 1호 ,608,606-34,614-1 ",2005-08-10,정상,돼지,허가대상,3142.66,3500,2024-12-31
122,금오농장,전북특별자치도 익산시 왕궁면 온수리 230번지 16호  ,2005-08-22,정상,돼지,등록대상 ,881.1,120,2024-12-31
123,금오농장,전북특별자치도 익산시 왕궁면 온수리 227번지 60호  ,2005-08-22,정상,돼지,등록대상 ,62.7,30,2024-12-31
124,소박농장,전북특별자치도 익산시 왕궁면 구덕리 760번지 6호  ,2005-08-23,정상,한우,등록대상 ,902,150,2024-12-31
125,모질메농장,전북특별자치도 익산시 금마면 동고도리 1073번지 17호  ,2005-08-23,정상,한우,등록대상 ,426,41,2024-12-31
126,솔우농원,"전북특별자치도 익산시 왕궁면 구덕리 697번지 2호 ,-3,-5 ",2005-08-23,정상,한우,허가대상,2100,130,2024-12-31
127,왕궁한우축산,"전북특별자치도 익산시 왕궁면 발산리 90번지 8호 ,90-72 ",2005-09-06,정상,한우,허가대상,646.4,8,2024-12-31
128,게바 1농장,전북특별자치도 익산시 영등동 502번지 4호  ,2005-09-06,정상,한우,허가대상,1921,86,2024-12-31
129,재우농장,전북특별자치도 익산시 황등면 죽촌리 178번지 27호  ,2005-09-06,정상,한우,허가대상,352.8,0,2024-12-31
130,신기목장,전북특별자치도 익산시 황등면 신기리 56번지 5호  ,2005-09-06,정상,한우,허가대상,1982.69,80,2024-12-31
131,삼기농장,"전북특별자치도 익산시 삼기면 연동리 653번지 9호 , 652-21, -25, 산201-6 ",2005-09-06,정상,한우,허가대상,5408.2,550,2024-12-31
132,푸른축산,전북특별자치도 익산시 삼기면 서두리 29번지  ,2005-09-06,정상,한우,허가대상,873.9,53,2024-12-31
133,백천농장,전북특별자치도 익산시 왕궁면 왕궁리 680번지 3호  ,2005-09-06,정상,한우,허가대상,592.83,34,2024-12-31
134,금오농장,전북특별자치도 익산시 왕궁면 온수리 230번지 9호  ,2005-09-06,정상,돼지,등록대상 ,165,50,2024-12-31
135,정O래농장,전북특별자치도 익산시 왕궁면 구덕리 488번지 489-1 ,2005-09-09,정상,한우,허가대상,814.34,100,2024-12-31
136,순영농장,전북특별자치도 익산시 왕궁면 구덕리 613번지 9호  ,2005-09-09,정상,한우,등록대상 ,576,60,2024-12-31
137,이수목장,전북특별자치도 익산시 왕궁면 구덕리 646번지 1호  ,2005-09-09,정상,한우,허가대상,1500.2,105,2024-12-31
138,어울진농장,전북특별자치도 익산시 춘포면 창평리 370번지  ,2005-09-15,정상,돼지,허가대상,1644.83,1000,2024-12-31
139,영진농장,전북특별자치도 익산시 황등면 신성리 554번지 1호 외 2 ,2005-09-15,정상,돼지,허가대상,3368.94,1700,2024-12-31
140,전O권 농장,전북특별자치도 익산시 황등면 용산리 883번지  ,2005-09-15,정상,돼지,허가대상,1465,1000,2024-12-31
141,재우스 농장,전북특별자치도 익산시 춘포면 천서리 6번지 5호  ,2005-09-15,정상,돼지,허가대상,1625.68,1700,2024-12-31
142,세은 2농장,전북특별자치도 익산시 성당면 대선리 790번지 2호  ,2005-09-15,정상,돼지,허가대상,573.5,450,2024-12-31
143,세은 1농장,전북특별자치도 익산시 성당면 대선리 381번지 1호  ,2005-09-15,정상,돼지,허가대상,474.5,450,2024-12-31
144,마한농장,"전북특별자치도 익산시 왕궁면 구덕리 14번지 1호 ,-2,-22,-24,-25 ",2005-09-15,정상,돼지,허가대상,922.19,450,2024-12-31
145,다니엘 농장,"전북특별자치도 익산시 춘포면 신동리 415번지 1호 ,593, 598-1 ",2005-09-15,정상,돼지,허가대상,1092,1400,2024-12-31
146,삼부 농장,전북특별자치도 익산시 춘포면 오산리 164번지 외 3필지 ,2005-09-15,정상,돼지,허가대상,990,550,2024-12-31
147,이레농장,전북특별자치도 익산시 삼기면 용연리 170번지 11호  ,2005-09-15,정상,육계,허가대상,2736,73000,2024-12-31
148,김O기농장,전북특별자치도 익산시 낭산면 성남리 400번지 19호  ,2005-09-22,정상,종계/산란계,허가대상,1463.4,30000,2024-12-31
