grid_x,grid_y,center_latitude,center_longitude,building_count,residential_count,commercial_count,total_floor_area_m2,mean_ground_floors,pages,grid_m,lat0,lon0
-3,8,36.03350774154152,126.95607591429199,184,9,2,7919.6,0.7989130434782609,1,1000,35.9566125,126.98382
-3,9,36.04255424054641,126.95607591429199,400,45,13,18111.2,0.4525,1,1000,35.9566125,126.98382
-3,10,36.05160073955129,126.95607591429199,184,30,3,14133.6,0.43478260869565216,1,1000,35.9566125,126.98382
-3,11,36.06064723855618,126.95607591429199,311,64,11,19226.2,0.4630225080385852,1,1000,35.9566125,126.98382
-3,12,36.06969373756106,126.95607591429199,226,43,5,9926.4,0.6017699115044248,1,1000,35.9566125,126.98382
-3,13,36.07874023656595,126.95607591429199,1058,214,164,94049.0,0.9017013232514177,2,1000,35.9566125,126.98382
-3,14,36.08778673557083,126.95607591429199,570,132,13,15589.6,0.4824561403508772,1,1000,35.9566125,126.98382
-3,15,36.09683323457572,126.95607591429199,191,44,5,6572.6,0.5130890052356021,1,1000,35.9566125,126.98382
-3,16,36.1058797335806,126.95607591429199,19,0,1,170.4,0.8421052631578947,1,1000,35.9566125,126.98382
-3,17,36.11492623258549,126.95607591429199,596,122,50,30509.5,0.6476510067114094,1,1000,35.9566125,126.98382
-3,18,36.12397273159037,126.95607591429199,703,175,32,26789.6,0.534850640113798,1,1000,35.9566125,126.98382
-3,19,36.13301923059526,126.95607591429199,356,117,12,14116.6,0.5926966292134831,1,1000,35.9566125,126.98382
-3,20,36.14206572960014,126.95607591429199,189,48,6,6124.1,0.4444444444444444,1,1000,35.9566125,126.98382
-3,21,36.15111222860503,126.95607591429199,7,0,0,0.0,1.0,1,1000,35.9566125,126.98382
-2,-9,35.87971725845848,126.96717354857519,205,31,10,35998.8,0.6682926829268293,1,1000,35.9566125,126.98382
-2,-8,35.88876375746336,126.96717354857519,791,236,38,49263.4,0.5524652338811631,1,1000,35.9566125,126.98382
-2,-7,35.89781025646825,126.96717354857519,139,17,12,13281.9,0.6834532374100719,1,1000,35.9566125,126.98382
-2,-6,35.90685675547313,126.96717354857519,20,1,0,367.4,0.45,1,1000,35.9566125,126.98382
-2,-5,35.91590325447802,126.96717354857519,192,46,1,5036.7,0.5052083333333334,1,1000,35.9566125,126.98382
-2,-4,35.9249497534829,126.96717354857519,620,148,40,95421.9,1.0758064516129033,1,1000,35.9566125,126.98382
-2,-3,35.93399625248779,126.96717354857519,2155,719,170,576702.9,1.4682134570765661,3,1000,35.9566125,126.98382
-2,-2,35.94304275149267,126.96717354857519,1855,588,138,464941.1,1.4555256064690028,2,1000,35.9566125,126.98382
-2,-1,35.95208925049756,126.96717354857519,2329,810,254,581119.6,1.3482181193645342,3,1000,35.9566125,126.98382
