분석대상,발생시각,신고수,서로다른좌표수,지역별신고수,평균강도,최대강도,악취종류별신고수,주요악취종류
익산시만,2021-06-13 22:00:00,1,1,"{""어양동"": 1}",5.0,5,"{""공장 냄새(화학약품, 매캐함)"": 1}","공장 냄새(화학약품, 매캐함)"
익산시만,2021-06-14 08:00:00,1,1,"{""낭산면 용기리"": 1}",4.0,4,"{""기타"": 1}",기타
익산시만,2021-06-14 13:00:00,2,2,"{""영등동"": 1, ""모현동1가"": 1}",4.0,4,"{""공장 냄새(화학약품, 매캐함)"": 2}","공장 냄새(화학약품, 매캐함)"
익산시만,2021-06-14 19:00:00,3,3,"{""송학동"": 1, ""모현동1가"": 1, ""어양동"": 1}",4.666666666666667,5,"{""공장 냄새(화학약품, 매캐함)"": 2, ""가축 분뇨 냄새(닭, 돼지, 소)"": 1}","공장 냄새(화학약품, 매캐함)"
익산시만,2021-06-14 20:00:00,2,2,"{""어양동"": 1, ""모현동1가"": 1}",3.0,3,"{""공장 냄새(화학약품, 매캐함)"": 1, ""하수구 냄새"": 1}","공장 냄새(화학약품, 매캐함)"
익산시만,2021-06-14 21:00:00,3,3,"{""동산동"": 3}",4.666666666666667,5,"{""공장 냄새(화학약품, 매캐함)"": 3}","공장 냄새(화학약품, 매캐함)"
익산시만,2021-06-14 22:00:00,8,8,"{""모현동1가"": 3, ""영등동"": 2, ""송학동"": 2, ""오산면 장신리"": 1}",4.875,5,"{""공장 냄새(화학약품, 매캐함)"": 8}","공장 냄새(화학약품, 매캐함)"
익산시만,2021-06-15 09:00:00,2,2,"{""어양동"": 1, ""주현동"": 1}",5.0,5,"{""공장 냄새(화학약품, 매캐함)"": 2}","공장 냄새(화학약품, 매캐함)"
익산시만,2021-06-15 10:00:00,1,1,"{""모현동1가"": 1}",5.0,5,"{""공장 냄새(화학약품, 매캐함)"": 1}","공장 냄새(화학약품, 매캐함)"
익산시만,2021-06-15 11:00:00,1,1,"{""삼기면 연동리"": 1}",3.0,3,"{""기타"": 1}",기타
익산시만,2021-06-15 14:00:00,1,1,"{""왕궁면 쌍제리"": 1}",5.0,5,"{""기타"": 1}",기타
익산시만,2021-06-15 19:00:00,1,1,"{""낭산면 용기리"": 1}",5.0,5,"{""가축 분뇨 냄새(닭, 돼지, 소)"": 1}","가축 분뇨 냄새(닭, 돼지, 소)"
익산시만,2021-06-15 21:00:00,1,1,"{""낭산면 용기리"": 1}",5.0,5,"{""기타"": 1}",기타
익산시만,2021-06-15 23:00:00,1,1,"{""영등동"": 1}",5.0,5,"{""하수구 냄새"": 1}",하수구 냄새
익산시만,2021-06-16 08:00:00,1,1,"{""낭산면 용기리"": 1}",4.0,4,"{""가축 분뇨 냄새(닭, 돼지, 소)"": 1}","가축 분뇨 냄새(닭, 돼지, 소)"
익산시만,2021-06-16 10:00:00,1,1,"{""팔봉동"": 1}",3.0,3,"{""공장 냄새(화학약품, 매캐함)"": 1}","공장 냄새(화학약품, 매캐함)"
익산시만,2021-06-16 16:00:00,1,1,"{""동산동"": 1}",4.0,4,"{""공장 냄새(화학약품, 매캐함)"": 1}","공장 냄새(화학약품, 매캐함)"
익산시만,2021-06-16 18:00:00,1,1,"{""동산동"": 1}",4.0,4,"{""가축 분뇨 냄새(닭, 돼지, 소)"": 1}","가축 분뇨 냄새(닭, 돼지, 소)"
익산시만,2021-06-16 19:00:00,1,1,"{""동산동"": 1}",3.0,3,"{""가축 분뇨 냄새(닭, 돼지, 소)"": 1}","가축 분뇨 냄새(닭, 돼지, 소)"
익산시만,2021-06-16 20:00:00,1,1,"{""동산동"": 1}",5.0,5,"{""기타"": 1}",기타
익산시만,2021-06-16 21:00:00,2,2,"{""춘포면 쌍정리"": 1, ""낭산면 용기리"": 1}",3.5,4,"{""하수구 냄새"": 1, ""가축 분뇨 냄새(닭, 돼지, 소)"": 1}",하수구 냄새
익산시만,2021-06-16 22:00:00,2,2,"{""팔봉동"": 1, ""부송동"": 1}",2.5,3,"{""공장 냄새(화학약품, 매캐함)"": 1, ""기타"": 1}","공장 냄새(화학약품, 매캐함)"
익산시만,2021-06-17 07:00:00,1,1,"{""동산동"": 1}",4.0,4,"{""기타"": 1}",기타
익산시만,2021-06-17 08:00:00,12,11,"{""동산동"": 4, ""인화동2가"": 2, ""마동"": 2, ""부송동"": 2, ""평화동"": 1, ""영등동"": 1}",4.333333333333333,5,"{""가축 분뇨 냄새(닭, 돼지, 소)"": 5, ""하수구 냄새"": 3, ""기타"": 2, ""공장 냄새(화학약품, 매캐함)"": 2}","가축 분뇨 냄새(닭, 돼지, 소)"
익산시만,2021-06-17 09:00:00,4,4,"{""모현동1가"": 2, ""어양동"": 1, ""영등동"": 1}",4.0,5,"{""공장 냄새(화학약품, 매캐함)"": 4}","공장 냄새(화학약품, 매캐함)"
익산시만,2021-06-17 13:00:00,1,1,"{""모현동1가"": 1}",5.0,5,"{""공장 냄새(화학약품, 매캐함)"": 1}","공장 냄새(화학약품, 매캐함)"
익산시만,2021-06-17 14:00:00,2,2,"{""동산동"": 1, ""왕궁면 쌍제리"": 1}",4.0,5,"{""공장 냄새(화학약품, 매캐함)"": 1, ""기타"": 1}","공장 냄새(화학약품, 매캐함)"
익산시만,2021-06-17 16:00:00,1,1,"{""모현동1가"": 1}",5.0,5,"{""공장 냄새(화학약품, 매캐함)"": 1}","공장 냄새(화학약품, 매캐함)"
익산시만,2021-06-17 17:00:00,1,1,"{""모현동1가"": 1}",5.0,5,"{""공장 냄새(화학약품, 매캐함)"": 1}","공장 냄새(화학약품, 매캐함)"
익산시만,2021-06-18 09:00:00,2,2,"{""팔봉동"": 2}",4.0,4,"{""공장 냄새(화학약품, 매캐함)"": 2}","공장 냄새(화학약품, 매캐함)"
익산시만,2021-06-18 22:00:00,1,1,"{""영등동"": 1}",5.0,5,"{""가축 분뇨 냄새(닭, 돼지, 소)"": 1}","가축 분뇨 냄새(닭, 돼지, 소)"
익산시만,2021-06-19 16:00:00,1,1,"{""동산동"": 1}",5.0,5,"{""하수구 냄새"": 1}",하수구 냄새
익산시만,2021-06-19 20:00:00,2,2,"{""모현동1가"": 1, ""동산동"": 1}",4.0,5,"{""공장 냄새(화학약품, 매캐함)"": 1, ""가축 분뇨 냄새(닭, 돼지, 소)"": 1}","공장 냄새(화학약품, 매캐함)"
익산시만,2021-06-19 21:00:00,2,2,"{""어양동"": 1, ""부송동"": 1}",3.0,3,"{""공장 냄새(화학약품, 매캐함)"": 2}","공장 냄새(화학약품, 매캐함)"
익산시만,2021-06-20 05:00:00,1,1,"{""평화동"": 1}",5.0,5,"{""하수구 냄새"": 1}",하수구 냄새
익산시만,2021-06-20 08:00:00,3,3,"{""부송동"": 3}",3.0,3,"{""공장 냄새(화학약품, 매캐함)"": 2, ""기타"": 1}","공장 냄새(화학약품, 매캐함)"
익산시만,2021-06-20 09:00:00,1,1,"{""동산동"": 1}",4.0,4,"{""기타"": 1}",기타
익산시만,2021-06-20 19:00:00,1,1,"{""동산동"": 1}",3.0,3,"{""공장 냄새(화학약품, 매캐함)"": 1}","공장 냄새(화학약품, 매캐함)"
익산시만,2021-06-20 22:00:00,1,1,"{""모현동1가"": 1}",5.0,5,"{""가축 분뇨 냄새(닭, 돼지, 소)"": 1}","가축 분뇨 냄새(닭, 돼지, 소)"
익산시만,2021-06-21 22:00:00,1,1,"{""현영동"": 1}",5.0,5,"{""하수구 냄새"": 1}",하수구 냄새
익산시만,2021-06-22 01:00:00,6,6,"{""동산동"": 2, ""영등동"": 1, ""어양동"": 1, ""평화동"": 1, ""송학동"": 1}",4.0,5,"{""기타"": 3, ""가축 분뇨 냄새(닭, 돼지, 소)"": 3}",기타
익산시만,2021-06-22 02:00:00,1,1,"{""신동"": 1}",4.0,4,"{""기타"": 1}",기타
익산시만,2021-06-22 03:00:00,1,1,"{""부송동"": 1}",2.0,2,"{""공장 냄새(화학약품, 매캐함)"": 1}","공장 냄새(화학약품, 매캐함)"
익산시만,2021-06-22 06:00:00,2,2,"{""영등동"": 1, ""부송동"": 1}",3.5,4,"{""가축 분뇨 냄새(닭, 돼지, 소)"": 1, ""기타"": 1}","가축 분뇨 냄새(닭, 돼지, 소)"
익산시만,2021-06-22 09:00:00,1,1,"{""팔봉동"": 1}",3.0,3,"{""공장 냄새(화학약품, 매캐함)"": 1}","공장 냄새(화학약품, 매캐함)"
