grid_x,grid_y,center_latitude,center_longitude
0,-5,35.91590325447802,126.9893688171416
0,-3,35.93399625248779,126.9893688171416
0,-2,35.94304275149267,126.9893688171416
0,-1,35.95208925049756,126.9893688171416
0,0,35.96113574950244,126.9893688171416
0,1,35.97018224850733,126.9893688171416
0,5,36.00636824452687,126.9893688171416
0,8,36.03350774154152,126.9893688171416
0,9,36.04255424054641,126.9893688171416
0,11,36.06064723855618,126.9893688171416
0,12,36.06969373756106,126.9893688171416
0,13,36.07874023656595,126.9893688171416
0,14,36.08778673557083,126.9893688171416
0,17,36.11492623258549,126.9893688171416
0,18,36.12397273159037,126.9893688171416
0,19,36.13301923059526,126.9893688171416
1,-7,35.89781025646825,127.0004664514248
1,-5,35.91590325447802,127.0004664514248
1,-3,35.93399625248779,127.0004664514248
1,-2,35.94304275149267,127.0004664514248
1,-1,35.95208925049756,127.0004664514248
1,0,35.96113574950244,127.0004664514248
1,1,35.97018224850733,127.0004664514248
1,2,35.97922874751221,127.0004664514248
1,5,36.00636824452687,127.0004664514248
1,6,36.01541474353175,127.0004664514248
1,8,36.03350774154152,127.0004664514248
1,9,36.04255424054641,127.0004664514248
1,11,36.06064723855618,127.0004664514248
1,19,36.13301923059526,127.0004664514248
1,20,36.14206572960014,127.0004664514248
2,-7,35.89781025646825,127.011564085708
2,-6,35.90685675547313,127.011564085708
2,-3,35.93399625248779,127.011564085708
2,-2,35.94304275149267,127.011564085708
2,-1,35.95208925049756,127.011564085708
2,0,35.96113574950244,127.011564085708
2,1,35.97018224850733,127.011564085708
2,7,36.02446124253664,127.011564085708
2,8,36.03350774154152,127.011564085708
2,9,36.04255424054641,127.011564085708
2,20,36.14206572960014,127.011564085708
3,-3,35.93399625248779,127.0226617199912
3,-2,35.94304275149267,127.0226617199912
3,-1,35.95208925049756,127.0226617199912
3,0,35.96113574950244,127.0226617199912
3,1,35.97018224850733,127.0226617199912
3,17,36.11492623258549,127.0226617199912
4,-6,35.90685675547313,127.03375935427441
4,-4,35.9249497534829,127.03375935427441
4,-1,35.95208925049756,127.03375935427441
4,1,35.97018224850733,127.03375935427441
4,14,36.08778673557083,127.03375935427441
5,-4,35.9249497534829,127.04485698855761
5,-3,35.93399625248779,127.04485698855761
5,-2,35.94304275149267,127.04485698855761
5,-1,35.95208925049756,127.04485698855761
5,2,35.97922874751221,127.04485698855761
5,3,35.9882752465171,127.04485698855761
6,-4,35.9249497534829,127.05595462284082
6,-3,35.93399625248779,127.05595462284082
6,3,35.9882752465171,127.05595462284082
6,5,36.00636824452687,127.05595462284082
6,6,36.01541474353175,127.05595462284082
6,11,36.06064723855618,127.05595462284082
7,-5,35.91590325447802,127.06705225712402
7,-4,35.9249497534829,127.06705225712402
7,-1,35.95208925049756,127.06705225712402
7,1,35.97018224850733,127.06705225712402
7,4,35.99732174552198,127.06705225712402
7,11,36.06064723855618,127.06705225712402
8,-4,35.9249497534829,127.07814989140722
8,-3,35.93399625248779,127.07814989140722
8,-1,35.95208925049756,127.07814989140722
8,0,35.96113574950244,127.07814989140722
8,1,35.97018224850733,127.07814989140722
9,-2,35.94304275149267,127.08924752569042
9,0,35.96113574950244,127.08924752569042
9,1,35.97018224850733,127.08924752569042
9,2,35.97922874751221,127.08924752569042
9,3,35.9882752465171,127.08924752569042
10,-1,35.95208925049756,127.10034515997363
10,0,35.96113574950244,127.10034515997363
10,3,35.9882752465171,127.10034515997363
10,5,36.00636824452687,127.10034515997363
