event_hour,hour,grid_x,grid_y,risk_score,rank,train_end
2025-08-08 23:00:00,2025-08-08 22:00:00,4,-4,9.839571e-05,160,2025-01-01
2025-08-08 23:00:00,2025-08-08 22:00:00,0,11,9.759992e-05,161,2025-01-01
2025-08-08 23:00:00,2025-08-08 22:00:00,-3,12,9.698854e-05,162,2025-01-01
2025-08-08 23:00:00,2025-08-08 22:00:00,-2,11,9.698854e-05,163,2025-01-01
2025-08-08 23:00:00,2025-08-08 22:00:00,-1,11,9.698854e-05,164,2025-01-01
2025-08-08 23:00:00,2025-08-08 22:00:00,2,-2,9.672522e-05,165,2025-01-01
2025-08-08 23:00:00,2025-08-08 22:00:00,-2,10,9.577277e-05,166,2025-01-01
2025-08-08 23:00:00,2025-08-08 22:00:00,-3,9,9.5561474e-05,167,2025-01-01
2025-08-08 23:00:00,2025-08-08 22:00:00,8,-3,9.3717565e-05,168,2025-01-01
2025-08-08 23:00:00,2025-08-08 22:00:00,-2,9,9.326905e-05,169,2025-01-01
2025-08-08 23:00:00,2025-08-08 22:00:00,-2,-5,9.134734e-05,170,2025-01-01
2025-08-08 23:00:00,2025-08-08 22:00:00,1,-3,9.050538e-05,171,2025-01-01
2025-08-08 23:00:00,2025-08-08 22:00:00,5,-3,8.9823014e-05,172,2025-01-01
2025-08-08 23:00:00,2025-08-08 22:00:00,5,-1,8.935088e-05,173,2025-01-01
2025-08-08 23:00:00,2025-08-08 22:00:00,2,-3,8.891077e-05,174,2025-01-01
2025-08-08 23:00:00,2025-08-08 22:00:00,5,-2,8.754864e-05,175,2025-01-01
2025-08-08 23:00:00,2025-08-08 22:00:00,0,-5,8.5670814e-05,176,2025-01-01
2025-08-08 23:00:00,2025-08-08 22:00:00,3,-3,8.536777e-05,177,2025-01-01
2025-08-08 23:00:00,2025-08-08 22:00:00,1,-5,8.525019e-05,178,2025-01-01
2025-08-08 23:00:00,2025-08-08 22:00:00,5,-4,8.5128995e-05,179,2025-01-01
2025-08-08 23:00:00,2025-08-08 22:00:00,2,-6,8.144703e-05,180,2025-01-01
2025-08-08 23:00:00,2025-08-08 22:00:00,8,-4,7.651919e-05,181,2025-01-01
2025-08-08 23:00:00,2025-08-08 22:00:00,-1,-6,7.166181e-05,182,2025-01-01
2025-08-08 23:00:00,2025-08-08 22:00:00,-1,-7,6.963253e-05,183,2025-01-01
2025-08-08 23:00:00,2025-08-08 22:00:00,1,-7,6.7741705e-05,184,2025-01-01
2025-08-08 23:00:00,2025-08-08 22:00:00,2,-7,6.666114e-05,185,2025-01-01
