순번,업체명,소재지(원문),정제주소,lat,lon,geocode_method,n_parcels,사육업종,사육두수,시설면적,영업상태,신고일자
49,드림농장,전북특별자치도 익산시 여산면 호산리 29-1번지 ,전북특별자치도 익산시 여산면 호산리 29-1,36.0480603305914,127.113022714116,지번정확,1,육계,40000,1920,정상,2005-03-16
50,학림농장,전북특별자치도 익산시 낭산면 구평리 769번지 15호  ,전북특별자치도 익산시 낭산면 구평리 769-15,36.0546624697861,127.012984700387,지번정확,1,한우,53,768,정상,2005-04-29
51,희망목장,전북특별자치도 익산시 황등면 신성리 127번지 8호  ,전북특별자치도 익산시 황등면 신성리 127-8,36.0386625206303,126.93359573539,지번정확,1,한우,7,848.98,정상,2005-04-29
52,성광 2농장,전북특별자치도 익산시 성당면 대선리 316번지  ,전북특별자치도 익산시 성당면 대선리 316,36.0612280031043,126.934824144645,지번정확,1,한우,16,600,정상,2005-04-29
53,죽촌 양계장,전북특별자치도 익산시 황등면 죽촌리 224번지 1호  ,전북특별자치도 익산시 황등면 죽촌리 224-1,36.0182006576269,126.942509659979,지번정확,1,육계,70000,2008.85,정상,2005-04-29
54,김O근 농장,전북특별자치도 익산시 왕궁면 흥암리 325번지 1호  ,전북특별자치도 익산시 왕궁면 흥암리 325-1,35.9567896852762,127.088184988472,지번정확,1,돼지,100,320,정상,2005-04-29
55,김O묵 농장,전북특별자치도 익산시 성당면 대선리 354번지 1호  ,전북특별자치도 익산시 성당면 대선리 354-1,36.0617770309416,126.935830092644,지번정확,1,돼지,700,940.7,정상,2005-04-29
56,심O집농장,전북특별자치도 익산시 낭산면 용기리 228번지 229 ,전북특별자치도 익산시 낭산면 용기리 228 229,36.0620809011182,126.986995655425,리중심,1,한우,45,567,정상,2005-04-29
57,참샘 농장,전북특별자치도 익산시 춘포면 천서리 18번지  ,전북특별자치도 익산시 춘포면 천서리 18,35.950043400365,127.037787190199,지번정확,1,육계,40000,2660,정상,2005-04-29
58,지종농장,전북특별자치도 익산시 웅포면 제성리 256번지 1호  ,전북특별자치도 익산시 웅포면 제성리 256-1,36.1144510985895,126.90155713707,지번정확,1,한우,10,324,정상,2005-04-29
59,금우농장,"전북특별자치도 익산시 왕궁면 구덕리 760번지 3호 ,760-5 ",전북특별자치도 익산시 왕궁면 구덕리 760-3,35.9490282031512,127.071368987393,첫필지,2,돼지,700,759.13,정상,2005-04-29
60,최O순농장,전북특별자치도 익산시 성당면 장선리 472번지 2호  ,전북특별자치도 익산시 성당면 장선리 472-2,36.0799715438622,126.928494328074,지번정확,1,한우,12,601.8,정상,2005-04-29
61,맹산리 농장,전북특별자치도 익산시 웅포면 맹산리 466번지  ,전북특별자치도 익산시 웅포면 맹산리 466,36.1084407308126,126.887941823359,지번정확,1,한우,35,350,정상,2005-04-29
62,박O동 농장,전북특별자치도 익산시 낭산면 구평리 803번지 외 4필지 ,전북특별자치도 익산시 낭산면 구평리 803 외 4필지,36.0569697532311,127.005043352731,리중심,1,육계,100000,3807.8,정상,2005-04-29
63,박O동농장,전북특별자치도 익산시 왕궁면 쌍제리 산 95번지 1호  ,전북특별자치도 익산시 왕궁면 쌍제리 산 95-1,35.9365878374569,127.053679348795,지번정확,1,한우,12,320,정상,2005-04-29
64,박O필농장,전북특별자치도 익산시 웅포면 고창리 810번지  ,전북특별자치도 익산시 웅포면 고창리 810,36.0918618140598,126.896437469657,지번정확,1,한우,40,640,정상,2005-04-29
65,강변농장,전북특별자치도 익산시 낭산면 성남리 505번지 16호  ,전북특별자치도 익산시 낭산면 성남리 505-16,36.0456253779202,127.010713367361,지번정확,1,한우,60,466.96,정상,2005-04-29
66,류O선농장,전북특별자치도 익산시 낭산면 구평리 154번지 1호  ,전북특별자치도 익산시 낭산면 구평리 154-1,36.0582092727414,127.003153143808,지번정확,1,한우,32,350,정상,2005-04-29
67,다해농장,전북특별자치도 익산시 낭산면 석천리 981번지 2호  ,전북특별자치도 익산시 낭산면 석천리 981-2,36.0760824936498,127.03562951504,지번정확,1,한우,53,755.4,정상,2005-04-29
68,호환 농장,전북특별자치도 익산시 함열읍 다송리 332번지 4호  ,전북특별자치도 익산시 함열읍 다송리 332-4,36.0427098650538,126.95979639279,지번정확,1,돼지,150,199.8,정상,2005-04-29
69,김O중농장,전북특별자치도 익산시 웅포면 송천리 84번지 1호  ,전북특별자치도 익산시 웅포면 송천리 84-1,36.0760551354978,126.903356956714,지번정확,1,한우,50,1040,정상,2005-04-29
