gap_before_min,n_init_reports,n_init_locs,n_init_grids,n_future_reports,complete,n_candidates,n_positive_cells,n_future_cells,n_outside_cells,n_future_reports_outside,cov_cells_r1,cov_cells_r2,cov_cells_r3,cov_cells_r4,t0_override,t_pred_min,lead_gain_min,t0,event_id,has_positive,has_future,outside_only
7.0,6,6,5,8,True,37,4,4,0,0,3,4,4,4,26102864,26102894,10,2019-08-18 23:44:00,EV2-0049,True,True,False
11.0,6,6,6,1,True,42,1,1,0,0,1,1,1,1,26108803,26108833,17,2019-08-23 02:43:00,EV2-0050,True,True,False
7.0,6,6,5,4,True,43,3,3,0,0,2,3,3,3,26109064,26109094,11,2019-08-23 07:04:00,EV2-0051,True,True,False
10.0,9,6,5,1,True,39,1,1,0,0,1,1,1,1,26110000,26110030,9,2019-08-23 22:40:00,EV2-0052,True,True,False
14.0,6,6,5,7,True,34,4,4,0,0,4,4,4,4,26111411,26111441,2,2019-08-24 22:11:00,EV2-0053,True,True,False
1.0,12,12,6,2,True,34,2,2,0,0,2,2,2,2,26111476,26111506,0,2019-08-24 23:16:00,EV2-0054,True,True,False
84.0,6,6,5,11,True,32,8,9,1,1,5,8,9,9,26113018,26113048,1,2019-08-26 00:58:00,EV2-0055,True,True,False
14.0,6,6,4,2,True,40,2,2,0,0,2,2,2,2,26113082,26113112,8,2019-08-26 02:02:00,EV2-0056,True,True,False
3.0,9,7,4,44,True,33,13,13,0,0,9,13,13,13,26117193,26117223,11,2019-08-28 22:33:00,EV2-0057,True,True,False
2.0,10,10,6,11,True,36,7,8,1,1,7,7,8,8,26117254,26117284,3,2019-08-28 23:34:00,EV2-0058,True,True,False
41.0,6,6,3,3,True,28,2,2,0,0,2,2,2,2,26118669,26118699,16,2019-08-29 23:09:00,EV2-0059,True,True,False
4.0,7,7,4,49,True,36,8,10,2,2,7,8,10,10,26119998,26120028,4,2019-08-30 21:18:00,EV2-0060,True,True,False
204.0,6,6,4,6,True,36,4,4,0,0,3,4,4,4,26121472,26121502,14,2019-08-31 21:52:00,EV2-0061,True,True,False
11.0,14,13,6,6,True,39,5,5,0,0,5,5,5,5,26121534,26121564,0,2019-08-31 22:54:00,EV2-0062,True,True,False
9.0,6,6,5,2,True,41,0,2,2,2,0,0,1,2,26123072,26123102,11,2019-09-02 00:32:00,EV2-0063,False,True,True
35.0,6,6,5,0,True,37,0,0,0,0,0,0,0,0,26124085,26124115,4,2019-09-02 17:25:00,EV2-0064,False,False,False
9.0,8,8,5,12,True,34,7,7,0,0,6,7,7,7,26125775,26125805,13,2019-09-03 21:35:00,EV2-0065,True,True,False
11.0,7,6,3,5,True,26,4,5,1,1,3,4,5,5,26127006,26127036,14,2019-09-04 18:06:00,EV2-0066,True,True,False
6.0,11,11,5,3,True,34,3,3,0,0,3,3,3,3,26127072,26127102,2,2019-09-04 19:12:00,EV2-0067,True,True,False
2.0,6,6,4,5,True,31,4,4,0,0,4,4,4,4,26127306,26127336,0,2019-09-04 23:06:00,EV2-0068,True,True,False
10.0,6,6,5,6,True,39,6,6,0,0,6,6,6,6,26127899,26127929,18,2019-09-05 08:59:00,EV2-0069,True,True,False
22.0,6,6,4,2,True,34,2,2,0,0,2,2,2,2,26131451,26131481,5,2019-09-07 20:11:00,EV2-0070,True,True,False
1.0,6,6,3,3,True,27,3,3,0,0,3,3,3,3,26131713,26131743,2,2019-09-08 00:33:00,EV2-0071,True,True,False
687.0,7,6,4,3,True,30,2,2,0,0,2,2,2,2,26135749,26135779,18,2019-09-10 19:49:00,EV2-0072,True,True,False
27.0,6,6,5,8,True,40,5,5,0,0,5,5,5,5,26144595,26144625,6,2019-09-16 23:15:00,EV2-0073,True,True,False
1.0,6,6,6,0,True,45,0,0,0,0,0,0,0,0,26144663,26144693,0,2019-09-17 00:23:00,EV2-0074,False,False,False
6.0,6,6,4,0,True,31,0,0,0,0,0,0,0,0,26150182,26150212,1,2019-09-20 20:22:00,EV2-0075,False,False,False
20.0,7,6,5,1,True,36,1,1,0,0,1,1,1,1,26154607,26154637,9,2019-09-23 22:07:00,EV2-0076,True,True,False
17.0,6,6,4,7,True,24,4,4,0,0,4,4,4,4,26165764,26165794,12,2019-10-01 16:04:00,EV2-0077,True,True,False
149.0,6,6,3,3,True,32,1,1,0,0,1,1,1,1,26504584,26504614,19,2020-05-23 23:04:00,EV2-0078,True,True,False
1303.0,9,7,5,9,True,34,6,6,0,0,6,6,6,6,26537800,26537830,18,2020-06-16 00:40:00,EV2-0079,True,True,False
7.0,6,6,6,9,True,44,4,4,0,0,3,4,4,4,26566938,26566968,17,2020-07-06 06:18:00,EV2-0080,True,True,False
17.0,6,6,5,0,True,46,0,0,0,0,0,0,0,0,26567033,26567063,4,2020-07-06 07:53:00,EV2-0081,False,False,False
22.0,6,6,4,2,True,24,2,2,0,0,2,2,2,2,26572000,26572030,1,2020-07-09 18:40:00,EV2-0082,True,True,False
114.0,6,6,4,0,True,24,0,0,0,0,0,0,0,0,26584319,26584349,6,2020-07-18 07:59:00,EV2-0083,False,False,False
69.0,6,6,4,4,True,26,3,3,0,0,2,3,3,3,26591511,26591541,9,2020-07-23 07:51:00,EV2-0084,True,True,False
23.0,6,6,4,4,True,30,3,3,0,0,3,3,3,3,26596697,26596727,8,2020-07-26 22:17:00,EV2-0085,True,True,False
2.0,7,6,3,18,True,21,5,6,1,1,4,5,6,6,26605223,26605253,26,2020-08-01 20:23:00,EV2-0086,True,True,False
1.0,15,13,6,15,True,35,7,7,0,0,7,7,7,7,26605285,26605315,2,2020-08-01 21:25:00,EV2-0087,True,True,False
2.0,6,6,5,1,True,29,1,1,0,0,1,1,1,1,26605364,26605394,11,2020-08-01 22:44:00,EV2-0088,True,True,False
19.0,9,7,3,50,True,23,5,6,1,1,5,5,5,5,26606658,26606688,18,2020-08-02 20:18:00,EV2-0089,True,True,False
1.0,32,29,10,14,True,40,7,7,0,0,7,7,7,7,26606718,26606748,1,2020-08-02 21:18:00,EV2-0090,True,True,False
2.0,17,13,7,8,True,41,4,4,0,0,3,4,4,4,26606779,26606809,6,2020-08-02 22:19:00,EV2-0091,True,True,False
60.0,6,6,5,3,True,42,1,2,1,2,1,1,2,2,26607316,26607346,2,2020-08-03 07:16:00,EV2-0092,True,True,False
7.0,6,6,4,16,True,35,4,4,0,0,3,4,4,4,26608169,26608199,13,2020-08-03 21:29:00,EV2-0093,True,True,False
3.0,9,8,6,0,True,32,0,0,0,0,0,0,0,0,26608234,26608264,0,2020-08-03 22:34:00,EV2-0094,False,False,False
83.0,7,7,5,12,True,39,8,8,0,0,6,8,8,8,26608406,26608436,17,2020-08-04 01:26:00,EV2-0095,True,True,False
33.0,7,6,5,1,True,37,1,1,0,0,1,1,1,1,26608798,26608828,1,2020-08-04 07:58:00,EV2-0096,True,True,False
160.0,7,7,3,16,True,23,3,6,3,5,3,3,4,5,26609474,26609504,13,2020-08-04 19:14:00,EV2-0097,True,True,False
17.0,6,6,5,4,True,37,2,2,0,0,2,2,2,2,26609567,26609597,8,2020-08-04 20:47:00,EV2-0098,True,True,False
7.0,8,8,5,7,True,34,2,6,4,5,2,2,3,5,26609634,26609664,4,2020-08-04 21:54:00,EV2-0099,True,True,False
1.0,6,6,4,3,True,36,2,3,1,1,2,2,3,3,26609695,26609725,8,2020-08-04 22:55:00,EV2-0100,True,True,False
18.0,7,6,4,0,True,32,0,0,0,0,0,0,0,0,26610297,26610327,9,2020-08-05 08:57:00,EV2-0101,False,False,False
41.0,6,6,4,2,True,33,2,2,0,0,2,2,2,2,26611036,26611066,4,2020-08-05 21:16:00,EV2-0102,True,True,False
19.0,6,6,5,15,True,35,6,6,0,0,6,6,6,6,26612540,26612570,9,2020-08-06 22:20:00,EV2-0103,True,True,False
5.0,6,6,2,13,True,18,5,5,0,0,5,5,5,5,26615395,26615425,7,2020-08-08 21:55:00,EV2-0104,True,True,False
56.0,7,6,5,2,True,52,1,1,0,0,1,1,1,1,26615515,26615545,0,2020-08-08 23:55:00,EV2-0105,True,True,False
12.0,10,6,5,20,True,32,8,8,0,0,7,8,8,8,26616672,26616702,10,2020-08-09 19:12:00,EV2-0106,True,True,False
2.0,6,6,4,7,True,28,5,5,0,0,3,5,5,5,26616742,26616772,1,2020-08-09 20:22:00,EV2-0107,True,True,False
3.0,10,9,6,11,True,36,5,6,1,1,4,5,6,6,26616802,26616832,3,2020-08-09 21:22:00,EV2-0108,True,True,False
11.0,6,6,5,2,True,37,1,1,0,0,1,1,1,1,26617470,26617500,2,2020-08-10 08:30:00,EV2-0109,True,True,False
149.0,6,6,4,3,True,26,3,3,0,0,2,3,3,3,26617906,26617936,7,2020-08-10 15:46:00,EV2-0110,True,True,False
5.0,8,7,4,14,True,24,4,5,1,1,4,4,4,5,26618104,26618134,17,2020-08-10 19:04:00,EV2-0111,True,True,False
6.0,6,6,3,14,True,31,5,5,0,0,4,5,5,5,26621251,26621281,1,2020-08-12 23:31:00,EV2-0112,True,True,False
1.0,27,25,7,12,True,38,6,7,1,2,4,6,7,7,26621313,26621343,0,2020-08-13 00:33:00,EV2-0113,True,True,False
4.0,10,9,8,1,True,47,1,1,0,0,0,1,1,1,26621374,26621404,2,2020-08-13 01:34:00,EV2-0114,True,True,False
7.0,6,6,5,3,True,43,2,2,0,0,1,2,2,2,26622874,26622904,10,2020-08-14 02:34:00,EV2-0115,True,True,False
24.0,6,6,5,0,True,43,0,0,0,0,0,0,0,0,26623076,26623106,6,2020-08-14 05:56:00,EV2-0116,False,False,False
812.0,8,6,3,45,True,21,7,15,8,28,5,7,10,13,26625506,26625536,4,2020-08-15 22:26:00,EV2-0117,True,True,False
1.0,16,13,11,3,True,55,3,3,0,0,3,3,3,3,26625568,26625598,1,2020-08-15 23:28:00,EV2-0118,True,True,False
18.0,6,6,5,0,True,31,0,0,0,0,0,0,0,0,26625828,26625858,5,2020-08-16 03:48:00,EV2-0119,False,False,False
11.0,6,6,5,15,True,45,9,9,0,0,7,9,9,9,26627001,26627031,1,2020-08-16 23:21:00,EV2-0120,True,True,False
4.0,7,7,6,6,True,46,4,4,0,0,4,4,4,4,26627066,26627096,1,2020-08-17 00:26:00,EV2-0121,True,True,False
12.0,8,6,5,9,True,36,4,5,1,1,3,4,5,5,26627337,26627367,11,2020-08-17 04:57:00,EV2-0122,True,True,False
42.0,6,6,4,3,True,26,3,3,0,0,3,3,3,3,26627501,26627531,1,2020-08-17 07:41:00,EV2-0123,True,True,False
76.0,6,6,4,4,True,39,3,3,0,0,2,3,3,3,26630057,26630087,5,2020-08-19 02:17:00,EV2-0124,True,True,False
19.0,6,6,4,7,True,40,5,6,1,2,3,5,6,6,26630271,26630301,6,2020-08-19 05:51:00,EV2-0125,True,True,False
10.0,9,8,4,4,True,38,4,4,0,0,4,4,4,4,26630332,26630362,0,2020-08-19 06:52:00,EV2-0126,True,True,False
5.0,6,6,4,22,True,28,7,7,0,0,6,7,7,7,26631416,26631446,4,2020-08-20 00:56:00,EV2-0127,True,True,False
14.0,6,6,5,5,True,37,5,5,0,0,4,5,5,5,26635461,26635491,2,2020-08-22 20:21:00,EV2-0128,True,True,False
21.0,6,6,5,3,True,39,3,3,0,0,2,3,3,3,26635549,26635579,5,2020-08-22 21:49:00,EV2-0129,True,True,False
7.0,6,6,3,0,True,21,0,0,0,0,0,0,0,0,26635623,26635653,4,2020-08-22 23:03:00,EV2-0130,False,False,False
3.0,6,6,6,11,True,47,7,7,0,0,5,7,7,7,26638593,26638623,21,2020-08-25 00:33:00,EV2-0131,True,True,False
247.0,7,7,5,2,True,33,2,2,0,0,2,2,2,2,26643886,26643916,17,2020-08-28 16:46:00,EV2-0132,True,True,False
521.0,6,6,5,7,True,41,6,6,0,0,5,6,6,6,26645315,26645345,12,2020-08-29 16:35:00,EV2-0133,True,True,False
264.0,6,6,5,2,True,38,2,2,0,0,1,2,2,2,26646096,26646126,10,2020-08-30 05:36:00,EV2-0134,True,True,False
24.0,7,7,4,10,True,28,7,7,0,0,7,7,7,7,26647280,26647310,12,2020-08-31 01:20:00,EV2-0135,True,True,False
2.0,13,12,8,8,True,51,4,4,0,0,4,4,4,4,26647340,26647370,2,2020-08-31 02:20:00,EV2-0136,True,True,False
21.0,7,7,5,11,True,27,4,4,0,0,4,4,4,4,26652759,26652789,8,2020-09-03 20:39:00,EV2-0137,True,True,False
35.0,7,7,3,8,True,21,2,3,1,1,2,2,2,3,26652897,26652927,2,2020-09-03 22:57:00,EV2-0138,True,True,False
102.0,6,6,4,13,True,31,6,7,1,1,6,6,7,7,26654246,26654276,11,2020-09-04 21:26:00,EV2-0139,True,True,False
40.0,6,6,3,11,True,31,4,5,1,1,2,4,4,5,26663639,26663669,13,2020-09-11 09:59:00,EV2-0140,True,True,False
45.0,6,6,2,1,True,26,1,1,0,0,1,1,1,1,26668773,26668803,14,2020-09-14 23:33:00,EV2-0141,True,True,False
32.0,6,6,4,5,True,36,4,4,0,0,3,4,4,4,26672156,26672186,5,2020-09-17 07:56:00,EV2-0142,True,True,False
40.0,6,6,3,29,True,26,5,7,2,5,4,5,7,7,26674385,26674415,23,2020-09-18 21:05:00,EV2-0143,True,True,False
1.0,7,6,4,5,True,28,3,4,1,2,3,3,4,4,26674446,26674476,1,2020-09-18 22:06:00,EV2-0144,True,True,False
59.0,6,6,3,4,True,23,3,3,0,0,2,3,3,3,26675868,26675898,7,2020-09-19 21:48:00,EV2-0145,True,True,False
21.0,9,9,7,3,True,44,3,3,0,0,3,3,3,3,26675936,26675966,0,2020-09-19 22:56:00,EV2-0146,True,True,False
13.0,6,6,3,3,True,31,3,3,0,0,2,3,3,3,26678745,26678775,0,2020-09-21 21:45:00,EV2-0147,True,True,False
307.0,7,6,3,15,True,23,6,10,4,5,5,6,7,8,26693083,26693113,5,2020-10-01 20:43:00,EV2-0148,True,True,False
60.0,6,6,2,18,True,26,7,10,3,3,4,7,9,10,26693273,26693303,1,2020-10-01 23:53:00,EV2-0149,True,True,False
7.0,6,6,5,4,True,41,4,4,0,0,3,4,4,4,26694644,26694674,7,2020-10-02 22:44:00,EV2-0150,True,True,False
16.0,6,6,4,8,True,32,4,7,3,3,2,4,5,6,27044546,27044576,21,2021-06-02 22:26:00,EV2-0151,True,True,False
24.0,6,6,5,10,True,36,5,7,2,2,4,5,7,7,27050060,27050090,10,2021-06-06 18:20:00,EV2-0152,True,True,False
1.0,8,7,7,4,True,53,4,4,0,0,4,4,4,4,27050123,27050153,2,2021-06-06 19:23:00,EV2-0153,True,True,False
25.0,6,6,5,2,True,43,2,2,0,0,2,2,2,2,27051559,27051589,1,2021-06-07 19:19:00,EV2-0154,True,True,False
7.0,6,6,6,7,True,45,5,6,1,1,3,5,6,6,27054427,27054457,7,2021-06-09 19:07:00,EV2-0155,True,True,False
10.0,6,6,5,10,True,43,8,8,0,0,6,8,8,8,27054507,27054537,3,2021-06-09 20:27:00,EV2-0156,True,True,False
13.0,6,6,5,3,True,43,3,3,0,0,3,3,3,3,27054633,27054663,0,2021-06-09 22:33:00,EV2-0157,True,True,False
5.0,7,6,4,2,True,37,2,2,0,0,1,2,2,2,27054703,27054733,2,2021-06-09 23:43:00,EV2-0158,True,True,False
32.0,6,6,6,0,True,39,0,0,0,0,0,0,0,0,27055527,27055557,0,2021-06-10 13:27:00,EV2-0159,False,False,False
12.0,6,6,5,5,True,47,4,4,0,0,3,4,4,4,27055762,27055792,3,2021-06-10 17:22:00,EV2-0160,True,True,False
28.0,6,6,3,2,True,27,2,2,0,0,2,2,2,2,27061803,27061833,8,2021-06-14 22:03:00,EV2-0161,True,True,False
12.0,6,6,4,1,True,36,1,1,0,0,1,1,1,1,27065303,27065333,19,2021-06-17 08:23:00,EV2-0162,True,True,False
189.0,6,6,6,1,True,46,1,1,0,0,1,1,1,1,27072089,27072119,3,2021-06-22 01:29:00,EV2-0163,True,True,False
26.0,6,6,5,15,True,34,8,10,2,4,6,8,9,9,27081991,27082021,1,2021-06-28 22:31:00,EV2-0164,True,True,False
5.0,6,6,5,35,True,40,9,10,1,1,8,9,10,10,27094987,27095017,15,2021-07-07 23:07:00,EV2-0165,True,True,False
1.0,15,15,8,7,True,51,5,6,1,1,4,5,6,6,27095047,27095077,0,2021-07-08 00:07:00,EV2-0166,True,True,False
121.0,6,6,4,0,True,30,0,0,0,0,0,0,0,0,27098000,27098030,3,2021-07-10 01:20:00,EV2-0167,False,False,False
3.0,7,6,5,1,True,32,1,1,0,0,1,1,1,1,27100603,27100633,5,2021-07-11 20:43:00,EV2-0168,True,True,False
1318.0,6,6,6,0,True,45,0,0,0,0,0,0,0,0,27102161,27102191,5,2021-07-12 22:41:00,EV2-0169,False,False,False
565.0,6,6,6,6,True,39,3,5,2,2,2,3,5,5,27103408,27103438,13,2021-07-13 19:28:00,EV2-0170,True,True,False
6.0,6,6,5,13,True,33,4,7,3,5,4,4,5,6,27104904,27104934,11,2021-07-14 20:24:00,EV2-0171,True,True,False
1.0,36,29,14,15,True,49,9,10,1,1,9,9,10,10,27104964,27104994,0,2021-07-14 21:24:00,EV2-0172,True,True,False
6.0,7,7,3,9,True,21,3,5,2,2,2,3,3,4,27105029,27105059,3,2021-07-14 22:29:00,EV2-0173,True,True,False
1.0,10,8,6,13,True,43,8,10,2,2,7,8,10,10,27105090,27105120,0,2021-07-14 23:30:00,EV2-0174,True,True,False
72.0,6,6,6,2,True,39,2,2,0,0,2,2,2,2,27106901,27106931,1,2021-07-16 05:41:00,EV2-0175,True,True,False
35.0,7,6,5,12,True,42,4,5,1,2,3,4,5,5,27113610,27113640,0,2021-07-20 21:30:00,EV2-0176,True,True,False
6.0,6,6,3,4,True,21,4,4,0,0,4,4,4,4,27113671,27113701,8,2021-07-20 22:31:00,EV2-0177,True,True,False
2.0,21,19,10,7,True,47,4,4,0,0,4,4,4,4,27113732,27113762,3,2021-07-20 23:32:00,EV2-0178,True,True,False
6.0,6,6,4,5,True,28,4,4,0,0,4,4,4,4,27118020,27118050,1,2021-07-23 23:00:00,EV2-0179,True,True,False
1.0,6,6,6,3,True,46,3,3,0,0,3,3,3,3,27119515,27119545,11,2021-07-24 23:55:00,EV2-0180,True,True,False
26.0,7,7,3,7,True,21,4,5,1,1,4,4,4,4,27120781,27120811,17,2021-07-25 21:01:00,EV2-0181,True,True,False
9.0,6,6,5,5,True,39,3,3,0,0,3,3,3,3,27120841,27120871,2,2021-07-25 22:01:00,EV2-0182,True,True,False
14.0,6,6,2,7,True,26,3,5,2,2,3,3,5,5,27122203,27122233,15,2021-07-26 20:43:00,EV2-0183,True,True,False
6.0,6,6,4,1,True,26,1,1,0,0,1,1,1,1,27130732,27130762,12,2021-08-01 18:52:00,EV2-0184,True,True,False
66.0,6,6,5,2,True,29,1,1,0,0,1,1,1,1,27132106,27132136,14,2021-08-02 17:46:00,EV2-0185,True,True,False
10.0,7,6,3,17,True,21,4,5,1,1,4,4,4,4,27135314,27135344,4,2021-08-04 23:14:00,EV2-0186,True,True,False
4.0,12,11,5,16,True,27,6,7,1,1,4,6,6,7,27135376,27135406,2,2021-08-05 00:16:00,EV2-0187,True,True,False
8.0,7,6,6,7,True,38,5,5,0,0,5,5,5,5,27136757,27136787,4,2021-08-05 23:17:00,EV2-0188,True,True,False
15.0,6,6,6,5,True,32,4,4,0,0,4,4,4,4,27146706,27146736,6,2021-08-12 21:06:00,EV2-0189,True,True,False
44.0,6,6,4,0,True,28,0,0,0,0,0,0,0,0,27147046,27147076,7,2021-08-13 02:46:00,EV2-0190,False,False,False
74.0,6,6,6,9,True,46,5,5,0,0,5,5,5,5,27149643,27149673,23,2021-08-14 22:03:00,EV2-0191,True,True,False
6.0,6,6,4,2,True,42,2,2,0,0,1,2,2,2,27149703,27149733,0,2021-08-14 23:03:00,EV2-0192,True,True,False
19.0,6,6,4,2,True,36,2,2,0,0,2,2,2,2,27151022,27151052,8,2021-08-15 21:02:00,EV2-0193,True,True,False
3.0,6,6,4,8,True,24,4,5,1,1,3,4,5,5,27151096,27151126,15,2021-08-15 22:16:00,EV2-0194,True,True,False
161.0,8,6,2,3,True,26,1,2,1,1,1,1,2,2,27155345,27155375,8,2021-08-18 21:05:00,EV2-0195,True,True,False
64.0,6,6,4,6,True,31,5,6,1,1,4,5,5,5,27156770,27156800,19,2021-08-19 20:50:00,EV2-0196,True,True,False
9.0,6,6,5,4,True,35,3,3,0,0,3,3,3,3,27158157,27158187,6,2021-08-20 19:57:00,EV2-0197,True,True,False
86.0,6,6,6,1,True,56,1,1,0,0,1,1,1,1,27167502,27167532,0,2021-08-27 07:42:00,EV2-0198,True,True,False
113.0,6,6,1,2,True,13,1,1,0,0,1,1,1,1,27172525,27172555,23,2021-08-30 19:25:00,EV2-0199,True,True,False
74.0,6,6,2,0,True,18,0,0,0,0,0,0,0,0,27172814,27172844,10,2021-08-31 00:14:00,EV2-0200,False,False,False
205.0,6,6,3,11,True,21,4,7,3,6,4,4,5,6,27174052,27174082,11,2021-08-31 20:52:00,EV2-0201,True,True,False
