event_hour,reports,unique_grids,mean_intensity,event_id
2022-09-06 23:00:00,13,10,4.384615384615385,EVT-0112
2023-07-05 22:00:00,16,11,4.125,EVT-0113
2023-09-20 00:00:00,14,13,4.071428571428571,EVT-0114
2024-07-17 21:00:00,11,6,4.363636363636363,EVT-0115
2024-07-17 22:00:00,28,13,4.392857142857143,EVT-0116
2024-07-17 23:00:00,14,10,4.428571428571429,EVT-0117
2024-07-28 22:00:00,13,8,4.461538461538462,EVT-0118
2024-07-28 23:00:00,14,8,4.571428571428571,EVT-0119
2024-09-02 02:00:00,12,11,4.333333333333333,EVT-0120
2024-09-03 20:00:00,13,10,4.153846153846154,EVT-0121
2024-09-05 01:00:00,19,13,4.7368421052631575,EVT-0122
2024-09-07 23:00:00,11,6,4.636363636363637,EVT-0123
2024-09-09 01:00:00,10,7,4.5,EVT-0124
2024-09-14 00:00:00,14,12,4.5,EVT-0125
2025-08-08 23:00:00,28,13,4.392857142857143,EVT-0126
2025-08-28 22:00:00,11,8,4.454545454545454,EVT-0127
2025-09-05 21:00:00,13,9,4.230769230769231,EVT-0128
2025-09-15 00:00:00,13,11,4.153846153846154,EVT-0129
