datetime,latitude,longitude,region,intensity,odor_type,grid_id,st_cluster
2020-02-04 08:03:00,35.961296,126.99423,부송동,3,"공장 냄새(화학약품, 매캐함)",1:1,-1
2020-02-04 09:30:00,35.96108,126.9941,부송동,5,"공장 냄새(화학약품, 매캐함)",1:0,-1
2020-02-04 09:32:00,35.95967,126.99274,부송동,5,"공장 냄새(화학약품, 매캐함)",1:0,-1
2020-02-04 17:41:00,36.062286,126.9334,성당면 대선리,3,기타,-10:23,-1
2020-02-05 19:45:00,35.97444,126.95157,신용동,3,기타,-6:3,-1
2020-02-06 18:45:00,36.062286,126.9334,성당면 대선리,3,기타,-10:23,-1
2020-02-09 20:02:00,36.062286,126.9334,성당면 대선리,3,기타,-10:23,-1
2020-02-09 21:13:00,35.96097,126.994194,부송동,4,기타,1:0,-1
2020-02-09 23:18:00,35.961296,126.994545,부송동,4,하수구 냄새,1:1,-1
2020-02-09 23:58:00,35.961044,126.99428,부송동,5,하수구 냄새,1:0,-1
2020-02-10 00:21:00,35.95858,126.98317,어양동,4,"공장 냄새(화학약품, 매캐함)",-1:0,-1
2020-02-10 00:24:00,35.96086,126.97907,영등동,5,"공장 냄새(화학약품, 매캐함)",-1:0,-1
2020-02-10 01:15:00,35.954807,126.98816,어양동,3,"공장 냄새(화학약품, 매캐함)",0:-1,-1
2020-02-10 01:44:00,35.959023,126.991905,부송동,3,"공장 냄새(화학약품, 매캐함)",1:0,-1
2020-02-10 07:43:00,35.930325,126.97234,금강동,5,음식조리 냄새,-3:-6,-1
2020-02-10 20:30:00,35.946804,126.99574,용제동,3,"공장 냄새(화학약품, 매캐함)",2:-3,-1
2020-02-10 21:05:00,35.95978,126.994415,부송동,3,"공장 냄새(화학약품, 매캐함)",1:0,-1
2020-02-10 23:25:00,35.961258,126.99445,부송동,4,"공장 냄새(화학약품, 매캐함)",1:1,-1
2020-02-11 21:36:00,35.961403,126.99437,부송동,4,"공장 냄새(화학약품, 매캐함)",1:1,-1
2020-02-11 21:37:00,35.962627,126.99153,부송동,4,"공장 냄새(화학약품, 매캐함)",1:1,-1
2020-02-11 22:18:00,35.96133,126.99445,부송동,4,"공장 냄새(화학약품, 매캐함)",1:1,-1
2020-02-14 23:25:00,35.957726,126.9836,어양동,4,기타,-1:0,-1
2020-02-15 16:22:00,35.92354,127.053986,춘포면 쌍정리,5,"가축 분뇨 냄새(닭, 돼지, 소)",12:-8,-1
2020-02-16 14:18:00,35.965084,126.9406,현영동,4,"가축 분뇨 냄새(닭, 돼지, 소)",-8:1,-1
2020-02-16 14:29:00,35.963802,126.95601,신동,3,하수구 냄새,-6:1,-1
2020-02-18 08:55:00,35.956688,126.98986,부송동,5,"공장 냄새(화학약품, 매캐함)",1:0,-1
2020-02-19 03:53:00,35.947052,126.971115,영등동,3,"공장 냄새(화학약품, 매캐함)",-3:-3,-1
2020-02-19 17:50:00,36.062286,126.9334,성당면 대선리,4,기타,-10:23,-1
2020-02-20 18:22:00,36.062286,126.9334,성당면 대선리,3,기타,-10:23,-1
2020-02-21 17:09:00,36.062286,126.9334,성당면 대선리,4,기타,-10:23,-1
2020-02-22 10:32:00,36.062286,126.9334,성당면 대선리,4,기타,-10:23,-1
2020-02-23 03:15:00,35.961258,126.99445,부송동,4,하수구 냄새,1:1,-1
2020-02-23 08:57:00,35.957005,126.99849,부송동,5,"공장 냄새(화학약품, 매캐함)",2:0,-1
2020-02-23 18:00:00,36.062286,126.9334,성당면 대선리,4,기타,-10:23,-1
2020-02-24 01:08:00,35.95704,126.98865,부송동,4,"공장 냄새(화학약품, 매캐함)",0:0,-1
2020-02-24 07:58:00,35.957726,126.99894,부송동,5,"공장 냄새(화학약품, 매캐함)",2:0,-1
2020-02-24 21:26:00,35.961113,126.9941,부송동,3,"공장 냄새(화학약품, 매캐함)",1:1,-1
2020-02-26 12:49:00,36.062286,126.9334,성당면 대선리,5,기타,-10:23,-1
2020-02-27 03:43:00,35.96115,126.99437,부송동,5,하수구 냄새,1:1,-1
2020-02-27 18:16:00,36.062286,126.9334,성당면 대선리,3,기타,-10:23,-1
2020-02-28 05:36:00,35.957905,126.99849,부송동,5,음식조리 냄새,2:0,-1
2020-02-28 14:47:00,35.96115,126.994415,부송동,4,"공장 냄새(화학약품, 매캐함)",1:1,-1
2020-02-29 17:56:00,36.062286,126.9334,성당면 대선리,4,기타,-10:23,-1
2020-03-01 14:31:00,35.962975,126.93723,만석동,3,기타,-9:1,-1
2020-03-01 17:41:00,36.062286,126.9334,성당면 대선리,3,기타,-10:23,-1
2020-03-01 22:25:00,35.96108,126.99446,부송동,3,"공장 냄새(화학약품, 매캐함)",1:0,-1
2020-03-02 17:37:00,35.946804,127.00237,용제동,4,하수구 냄새,3:-3,-1
2020-03-03 13:14:00,36.06254,126.933716,성당면 대선리,3,기타,-10:23,-1
2020-03-03 22:30:00,35.962666,126.984344,어양동,3,하수구 냄새,0:1,-1
2020-03-04 10:02:00,35.964386,126.94825,신용동,3,"가축 분뇨 냄새(닭, 돼지, 소)",-7:1,-1
2020-03-05 07:52:00,35.948456,126.964355,영등동,3,"공장 냄새(화학약품, 매캐함)",-4:-2,-1
2020-03-05 18:22:00,36.062286,126.9334,성당면 대선리,3,기타,-10:23,-1
2020-03-07 21:06:00,35.944744,126.976234,신흥동,3,음식조리 냄새,-2:-3,-1
2020-03-08 12:28:00,35.992023,126.97574,월성동,4,"가축 분뇨 냄새(닭, 돼지, 소)",-2:7,-1
2020-03-08 17:53:00,36.062286,126.9334,성당면 대선리,3,기타,-10:23,-1
2020-03-09 19:23:00,36.06243,126.9334,성당면 대선리,3,기타,-10:23,-1
2020-03-12 17:48:00,36.062286,126.9334,성당면 대선리,3,"가축 분뇨 냄새(닭, 돼지, 소)",-10:23,-1
2020-03-12 23:59:00,35.961296,126.994415,부송동,5,"가축 분뇨 냄새(닭, 돼지, 소)",1:1,-1
2020-03-13 07:09:00,35.964935,126.98641,부송동,5,"공장 냄새(화학약품, 매캐함)",0:1,-1
2020-03-14 09:46:00,35.963062,126.98559,부송동,4,"가축 분뇨 냄새(닭, 돼지, 소)",0:1,-1
2020-03-14 12:37:00,36.062286,126.9334,성당면 대선리,4,기타,-10:23,-1
2020-03-15 08:27:00,36.062286,126.9334,성당면 대선리,3,기타,-10:23,-1
2020-03-16 17:52:00,36.062286,126.9334,성당면 대선리,5,기타,-10:23,-1
2020-03-16 22:08:00,35.92719,126.96591,동산동,4,"가축 분뇨 냄새(닭, 돼지, 소)",-4:-7,-1
2020-03-18 07:43:00,35.965584,127.01618,팔봉동,4,하수구 냄새,5:1,-1
2020-03-18 17:49:00,36.062286,126.9334,성당면 대선리,3,기타,-10:23,-1
2020-03-18 22:13:00,35.953255,126.984215,어양동,5,기타,0:-1,-1
2020-03-19 18:11:00,36.062286,126.9334,성당면 대선리,3,기타,-10:23,-1
2020-03-20 11:50:00,36.062286,126.9334,성당면 대선리,4,기타,-10:23,-1
2020-03-20 23:34:00,35.961185,126.99428,부송동,5,하수구 냄새,1:1,-1
