cluster_id,start,end,duration_minutes,reports,unique_grids,mean_intensity,major_region,major_odor_type
103,2021-06-09 20:17:00,2021-06-09 22:20:00,123.0,9,6,4.777777777777778,모현동1가,"공장 냄새(화학약품, 매캐함)"
3,2020-06-16 01:06:00,2020-06-16 01:14:00,8.0,9,3,4.666666666666667,인화동2가,기타
40,2020-08-09 22:09:00,2020-08-10 01:03:00,174.0,9,4,4.0,동산동,기타
239,2023-07-05 21:55:00,2023-07-05 22:47:00,52.0,9,8,3.6666666666666665,영등동,"가축 분뇨 냄새(닭, 돼지, 소)"
157,2021-08-31 21:26:00,2021-08-31 22:06:00,40.0,9,5,4.333333333333333,동산동,기타
41,2020-08-09 22:09:00,2020-08-09 22:35:00,26.0,8,5,3.5,모현동1가,기타
203,2022-07-17 23:11:00,2022-07-17 23:49:00,38.0,8,5,3.875,부송동,"공장 냄새(화학약품, 매캐함)"
272,2024-07-28 19:59:00,2024-07-28 21:47:00,108.0,8,1,4.0,왕궁면 흥암리,"가축 분뇨 냄새(닭, 돼지, 소)"
1,2020-01-21 20:43:00,2020-01-21 22:11:00,88.0,8,4,4.375,부송동,"공장 냄새(화학약품, 매캐함)"
130,2021-08-02 18:00:00,2021-08-02 18:19:00,19.0,8,8,3.625,영등동,"가축 분뇨 냄새(닭, 돼지, 소)"
142,2021-08-14 22:27:00,2021-08-14 23:46:00,79.0,8,4,3.5,부송동,"공장 냄새(화학약품, 매캐함)"
269,2024-07-22 19:48:00,2024-07-22 21:19:00,91.0,8,1,3.75,왕궁면 흥암리,"가축 분뇨 냄새(닭, 돼지, 소)"
278,2024-08-31 20:18:00,2024-08-31 21:09:00,51.0,8,1,4.0,왕궁면 흥암리,소각 냄새(태우는 냄새)
307,2025-09-14 23:34:00,2025-09-15 00:39:00,65.0,8,5,4.0,동산동,"가축 분뇨 냄새(닭, 돼지, 소)"
154,2021-08-30 19:48:00,2021-08-30 19:55:00,7.0,8,2,4.75,낭산면 용기리,기타
279,2024-09-02 01:58:00,2024-09-02 02:30:00,32.0,8,6,4.25,영등동,"가축 분뇨 냄새(닭, 돼지, 소)"
287,2024-09-13 23:35:00,2024-09-14 00:42:00,67.0,8,8,4.375,부송동,"가축 분뇨 냄새(닭, 돼지, 소)"
78,2020-09-04 21:43:00,2020-09-04 22:49:00,66.0,8,2,4.375,동산동,기타
255,2024-06-23 20:15:00,2024-06-23 21:46:00,91.0,8,1,3.875,왕궁면 흥암리,"가축 분뇨 냄새(닭, 돼지, 소)"
180,2021-10-13 20:12:00,2021-10-13 20:49:00,37.0,8,5,4.125,부송동,"가축 분뇨 냄새(닭, 돼지, 소)"
227,2022-09-06 22:54:00,2022-09-06 23:51:00,57.0,8,4,4.375,동산동,"가축 분뇨 냄새(닭, 돼지, 소)"
303,2025-08-28 21:32:00,2025-08-28 22:53:00,81.0,8,5,4.625,동산동,"가축 분뇨 냄새(닭, 돼지, 소)"
94,2020-10-02 21:55:00,2020-10-02 23:32:00,97.0,8,5,4.375,동산동,기타
196,2022-07-07 20:32:00,2022-07-07 21:22:00,50.0,8,5,4.375,부송동,"가축 분뇨 냄새(닭, 돼지, 소)"
225,2022-09-06 21:43:00,2022-09-06 21:50:00,7.0,8,1,5.0,낭산면 용기리,기타
60,2020-08-19 02:22:00,2020-08-19 04:13:00,111.0,8,6,3.875,영등동,"가축 분뇨 냄새(닭, 돼지, 소)"
107,2021-06-10 14:54:00,2021-06-10 15:31:00,37.0,8,2,4.875,동산동,"공장 냄새(화학약품, 매캐함)"
220,2022-08-22 23:07:00,2022-08-23 00:17:00,70.0,8,4,4.25,모현동1가,"가축 분뇨 냄새(닭, 돼지, 소)"
11,2020-07-23 08:00:00,2020-07-23 09:53:00,113.0,8,4,3.875,부송동,"가축 분뇨 냄새(닭, 돼지, 소)"
115,2021-07-11 20:40:00,2021-07-11 21:14:00,34.0,8,4,4.0,부송동,"공장 냄새(화학약품, 매캐함)"
201,2022-07-16 05:00:00,2022-07-16 06:21:00,81.0,8,5,3.75,영등동,기타
71,2020-08-30 06:04:00,2020-08-30 06:47:00,43.0,8,6,3.5,영등동,기타
25,2020-08-04 08:07:00,2020-08-04 09:02:00,55.0,7,6,3.4285714285714284,영등동,기타
174,2021-10-02 22:57:00,2021-10-02 23:10:00,13.0,7,4,4.714285714285714,동산동,"가축 분뇨 냄새(닭, 돼지, 소)"
