gap_before_min,n_init_reports,n_init_locs,n_init_grids,n_future_reports,complete,n_candidates,n_positive_cells,n_future_cells,n_outside_cells,n_future_reports_outside,cov_cells_r1,cov_cells_r2,cov_cells_r3,cov_cells_r4,t0_override,t_pred_min,lead_gain_min,t0,event_id,has_positive,has_future,outside_only
11.0,7,7,6,2,True,45,2,2,0,0,2,2,2,2,26622878,26622908,6,2020-08-14 02:38:00,EV2-0089,True,True,False
815.0,9,7,4,47,True,29,10,14,4,19,5,10,12,13,26625509,26625539,1,2020-08-15 22:29:00,EV2-0090,True,True,False
2.0,16,13,10,2,True,52,2,2,0,0,2,2,2,2,26625571,26625601,1,2020-08-15 23:31:00,EV2-0091,True,True,False
12.0,7,7,6,14,True,45,8,8,0,0,6,8,8,8,26627002,26627032,0,2020-08-16 23:22:00,EV2-0092,True,True,False
4.0,7,7,6,6,True,46,4,4,0,0,4,4,4,4,26627066,26627096,1,2020-08-17 00:26:00,EV2-0093,True,True,False
16.0,10,8,7,7,True,44,5,5,0,0,5,5,5,5,26627341,26627371,7,2020-08-17 05:01:00,EV2-0094,True,True,False
4.0,7,7,4,0,True,28,0,0,0,0,0,0,0,0,26627507,26627537,12,2020-08-17 07:47:00,EV2-0095,False,False,False
78.0,7,7,5,4,True,41,4,4,0,0,3,4,4,4,26630059,26630089,3,2020-08-19 02:19:00,EV2-0096,True,True,False
20.0,7,7,5,6,True,41,4,5,1,2,2,4,5,5,26630272,26630302,5,2020-08-19 05:52:00,EV2-0097,True,True,False
10.0,9,8,4,4,True,38,4,4,0,0,4,4,4,4,26630332,26630362,0,2020-08-19 06:52:00,EV2-0098,True,True,False
6.0,7,7,5,24,True,31,7,7,0,0,7,7,7,7,26631417,26631447,3,2020-08-20 00:57:00,EV2-0099,True,True,False
2.0,7,7,5,2,True,34,2,2,0,0,2,2,2,2,26635468,26635498,14,2020-08-22 20:28:00,EV2-0100,True,True,False
10.0,7,7,4,3,True,29,2,2,0,0,2,2,2,2,26635599,26635629,4,2020-08-22 22:39:00,EV2-0101,True,True,False
5.0,7,7,6,10,True,47,7,7,0,0,5,7,7,7,26638595,26638625,19,2020-08-25 00:35:00,EV2-0102,True,True,False
247.0,7,7,5,2,True,33,2,2,0,0,2,2,2,2,26643886,26643916,17,2020-08-28 16:46:00,EV2-0103,True,True,False
523.0,7,7,6,6,True,46,5,5,0,0,5,5,5,5,26645317,26645347,10,2020-08-29 16:37:00,EV2-0104,True,True,False
267.0,7,7,5,1,True,38,1,1,0,0,0,1,1,1,26646099,26646129,7,2020-08-30 05:39:00,EV2-0105,True,True,False
24.0,7,7,4,10,True,28,7,7,0,0,7,7,7,7,26647280,26647310,12,2020-08-31 01:20:00,EV2-0106,True,True,False
2.0,13,12,8,8,True,51,4,4,0,0,4,4,4,4,26647340,26647370,2,2020-08-31 02:20:00,EV2-0107,True,True,False
