event_hour,rank,source_id,name,city,species,location_precision,distance_km,bearing_deg,travel_time_min,wind_alignment,fit_score,evidence_text
2020-08-06 23:00:00,2,IKSAN-0282,해밀축산,익산시,돼지,point,4.7812879503664725,294.3538691219288,99.61016563263485,0.9971141982828945,0.68204889971469,"동풍 0.8 m/s Event 정시 기준, 4.8 km, 예상 도달 100분, 방위 일치 1.00"
2020-08-06 23:00:00,3,IKSAN-1166,우리농장,익산시,육계,point,1.546144777429362,271.2246007050778,32.211349529778374,0.9467875419157038,0.5081632383932209,"동풍 0.8 m/s Event 정시 기준, 1.5 km, 예상 도달 32분, 방위 일치 0.95"
2020-08-06 23:00:00,4,IKSAN-0141,재우스 농장,익산시,돼지,point,5.726893354919858,279.1913690830179,119.31027822749704,0.9822590128526191,0.506982993026052,"동풍 0.8 m/s Event 정시 기준, 5.7 km, 예상 도달 119분, 방위 일치 0.98"
2020-08-06 23:00:00,5,IKSAN-0146,삼부 농장,익산시,돼지,point,5.3329907652373665,297.17806454870725,111.10397427577846,0.9921626119137954,0.3385750732657495,"동풍 0.8 m/s Event 정시 기준, 5.3 km, 예상 도달 111분, 방위 일치 0.99"
2020-08-08 22:00:00,1,IKSAN-0145,다니엘 농장,익산시,돼지,point,2.6065914292514853,302.8096481798004,31.03085034823197,0.9553281435972555,1.0,"남동풍 1.4 m/s Event 정시 기준, 2.6 km, 예상 도달 31분, 방위 일치 0.96"
2020-08-08 22:00:00,2,IKSAN-0141,재우스 농장,익산시,돼지,point,3.9496712512527994,285.0008454628826,47.019895848247614,0.8191605079573736,0.7588960702531461,"남동풍 1.4 m/s Event 정시 기준, 3.9 km, 예상 도달 47분, 방위 일치 0.82"
2020-08-08 22:00:00,3,IKSAN-0282,해밀축산,익산시,돼지,point,2.89861434957225,304.6516250648041,34.507313685383934,0.9643342861779669,0.6743992590923192,"남동풍 1.4 m/s Event 정시 기준, 2.9 km, 예상 도달 35분, 방위 일치 0.96"
2020-08-08 22:00:00,4,IKSAN-0138,어울진농장,익산시,돼지,point,4.147964493328508,278.73678804505175,49.38052968248224,0.7516877475459677,0.3881501679101815,"남동풍 1.4 m/s Event 정시 기준, 4.1 km, 예상 도달 49분, 방위 일치 0.75"
2020-08-08 22:00:00,5,IKSAN-1166,우리농장,익산시,육계,point,2.2974733918644934,346.91393482878806,27.350873712672538,0.8916874671994671,0.35484836778989093,"남동풍 1.4 m/s Event 정시 기준, 2.3 km, 예상 도달 27분, 방위 일치 0.89"
2020-08-09 19:00:00,1,IKSAN-0145,다니엘 농장,익산시,돼지,point,2.962442016155295,307.69721922242934,22.44274254663102,0.8452358981167061,1.0,"남풍 2.2 m/s Event 정시 기준, 3.0 km, 예상 도달 22분, 방위 일치 0.85"
2020-08-09 19:00:00,2,IKSAN-1166,우리농장,익산시,육계,point,2.284921044905795,350.8102651549001,17.310007915952987,0.9822536635867696,0.686959136137473,"남풍 2.2 m/s Event 정시 기준, 2.3 km, 예상 도달 17분, 방위 일치 0.98"
2020-08-09 19:00:00,3,IKSAN-0282,해밀축산,익산시,돼지,point,3.26055500212659,308.8937499592504,24.70117425853477,0.8562107340930645,0.6120400873731633,"남풍 2.2 m/s Event 정시 기준, 3.3 km, 예상 도달 25분, 방위 일치 0.86"
2020-08-09 19:00:00,4,IKSAN-0141,재우스 농장,익산시,돼지,point,3.9609811377622663,284.47487332233317,30.007432861835348,0.5660447674891448,0.3830913851560951,"남풍 2.2 m/s Event 정시 기준, 4.0 km, 예상 도달 30분, 방위 일치 0.57"
2020-08-09 19:00:00,5,IKSAN-0146,삼부 농장,익산시,돼지,point,3.856021476317083,310.63855709296706,29.212283911493046,0.8715439666349227,0.24348073846417362,"남풍 2.2 m/s Event 정시 기준, 3.9 km, 예상 도달 29분, 방위 일치 0.87"
2020-08-09 20:00:00,1,IKSAN-1166,우리농장,익산시,육계,point,2.3606872338816967,346.7749495606674,20.707782753348216,0.9930171809119914,1.0,"남풍 1.9 m/s Event 정시 기준, 2.4 km, 예상 도달 21분, 방위 일치 0.99"
2020-08-09 20:00:00,2,IKSAN-0145,다니엘 농장,익산시,돼지,point,2.7220318340797602,297.62631211316875,23.87747222876983,0.7387649246604671,0.8678303793209114,"남풍 1.9 m/s Event 정시 기준, 2.7 km, 예상 도달 24분, 방위 일치 0.74"
2020-08-09 20:00:00,3,IKSAN-0282,해밀축산,익산시,돼지,point,3.0053153190684223,299.89636057634425,26.362415079547567,0.7648804846902308,0.6103829793814659,"남풍 1.9 m/s Event 정시 기준, 3.0 km, 예상 도달 26분, 방위 일치 0.76"
2020-08-09 20:00:00,4,GIMJE-0593,김제시 공덕면 동계리 축산 밀집 구역(8곳),김제시,종계/산란계,village,3.7104903819380377,28.34672624514991,32.5481612450705,0.6646212300386419,0.5765554687635863,"남풍 1.9 m/s Event 정시 기준, 3.7 km, 예상 도달 33분, 방위 일치 0.66"
2020-08-09 20:00:00,5,IKSAN-1063,장백농장,익산시,육계,point,5.224490313692634,290.13050372394326,45.82886240081258,0.6445307752806462,0.506824956638774,"남풍 1.9 m/s Event 정시 기준, 5.2 km, 예상 도달 46분, 방위 일치 0.64"
2020-08-09 21:00:00,1,GIMJE-0525,김제시 백구면 석담리 축산 밀집 구역(2곳),김제시,육계,village,5.218487662938248,337.7779686660556,48.319330212391186,0.9992480816838338,1.0,"남풍 1.8 m/s Event 정시 기준, 5.2 km, 예상 도달 48분, 방위 일치 1.00"
2020-08-09 21:00:00,2,GIMJE-0524,김제시 백구면 월봉리 축산 밀집 구역(2곳),김제시,육계,village,5.0363322998409386,356.53988561852066,46.632706480008686,0.9586217894336893,0.9602398904519166,"남풍 1.8 m/s Event 정시 기준, 5.0 km, 예상 도달 47분, 방위 일치 0.96"
2020-08-09 21:00:00,3,IKSAN-1063,장백농장,익산시,육계,point,4.830229111221143,299.7252944730518,44.72434362241799,0.762953794837698,0.9472660711908507,"남풍 1.8 m/s Event 정시 기준, 4.8 km, 예상 도달 45분, 방위 일치 0.76"
2020-08-09 21:00:00,4,GIMJE-0593,김제시 공덕면 동계리 축산 밀집 구역(8곳),김제시,종계/산란계,village,3.6852908808456957,27.43261956241372,34.123063711534215,0.6764567861251546,0.8984985532916197,"남풍 1.8 m/s Event 정시 기준, 3.7 km, 예상 도달 34분, 방위 일치 0.68"
2020-08-09 21:00:00,5,IKSAN-1166,우리농장,익산시,육계,point,3.4886770494113897,318.0027968453725,32.302565272327676,0.927202139568468,0.7696039806589953,"남풍 1.8 m/s Event 정시 기준, 3.5 km, 예상 도달 32분, 방위 일치 0.93"
2020-08-09 22:00:00,1,GIMJE-0593,김제시 공덕면 동계리 축산 밀집 구역(8곳),김제시,종계/산란계,village,3.9200231532801983,8.420960970642057,25.128353546667938,0.8794745126189326,1.0,"남풍 2.6 m/s Event 정시 기준, 3.9 km, 예상 도달 25분, 방위 일치 0.88"
2020-08-09 22:00:00,2,IKSAN-1166,우리농장,익산시,육계,point,1.7168690187916698,278.62466596640866,11.005570633279934,0.4790697872844153,0.6094171377138063,"남풍 2.6 m/s Event 정시 기준, 1.7 km, 예상 도달 11분, 방위 일치 0.48"
2020-08-09 22:00:00,3,GIMJE-0524,김제시 백구면 월봉리 축산 밀집 구역(2곳),김제시,육계,village,5.020081914807046,357.08447865520026,32.18001227440414,0.955872634830375,0.4510911419622101,"남풍 2.6 m/s Event 정시 기준, 5.0 km, 예상 도달 32분, 방위 일치 0.96"
2020-08-09 22:00:00,4,GIMJE-0525,김제시 백구면 석담리 축산 밀집 구역(2곳),김제시,육계,village,5.424479676452565,328.882953918196,34.77230561828568,0.9812353433060453,0.4399297570152812,"남풍 2.6 m/s Event 정시 기준, 5.4 km, 예상 도달 35분, 방위 일치 0.98"
2020-08-09 22:00:00,5,IKSAN-1063,장백농장,익산시,육계,point,5.148540834681766,301.15271818391534,33.00346688898568,0.7788206115211038,0.351818925716023,"남풍 2.6 m/s Event 정시 기준, 5.1 km, 예상 도달 33분, 방위 일치 0.78"
2020-08-10 19:00:00,1,IKSAN-0145,다니엘 농장,익산시,돼지,point,2.948420745036702,308.7063838093615,32.7602305004078,0.8545167088651306,1.0,"남풍 1.5 m/s Event 정시 기준, 2.9 km, 예상 도달 33분, 방위 일치 0.85"
2020-08-10 19:00:00,2,IKSAN-0282,해밀축산,익산시,돼지,point,3.2475826315938914,309.81507342314734,36.08425146215435,0.8644071069651839,0.651023027419836,"남풍 1.5 m/s Event 정시 기준, 3.2 km, 예상 도달 36분, 방위 일치 0.86"
2020-08-10 19:00:00,3,IKSAN-0141,재우스 농장,익산시,돼지,point,3.927417638540361,285.08770740644286,43.63797376155957,0.574829707872439,0.5260888531881946,"남풍 1.5 m/s Event 정시 기준, 3.9 km, 예상 도달 44분, 방위 일치 0.57"
2020-08-10 19:00:00,4,IKSAN-1166,우리농장,익산시,육계,point,2.237152943850413,3.0349269077331087,24.857254931671253,0.9202664968297738,0.454939247861067,"남풍 1.5 m/s Event 정시 기준, 2.2 km, 예상 도달 25분, 방위 일치 0.92"
2020-08-10 19:00:00,5,IKSAN-0146,삼부 농장,익산시,돼지,point,3.8445829780288836,311.42251348422707,42.71758864476537,0.8781710021543321,0.29304208172144897,"남풍 1.5 m/s Event 정시 기준, 3.8 km, 예상 도달 43분, 방위 일치 0.88"
2020-08-13 00:00:00,1,IKSAN-0145,다니엘 농장,익산시,돼지,point,2.792382409526774,301.6849165737481,58.17463353180779,0.9493427845181632,1.0,"남동풍 0.8 m/s Event 정시 기준, 2.8 km, 예상 도달 58분, 방위 일치 0.95"
2020-08-13 00:00:00,2,IKSAN-0141,재우스 농장,익산시,돼지,point,3.920902614478419,279.4723124248101,81.68547113496706,0.7600920379750884,0.6983866611953109,"남동풍 0.8 m/s Event 정시 기준, 3.9 km, 예상 도달 82분, 방위 일치 0.76"
2020-08-13 00:00:00,3,IKSAN-0282,해밀축산,익산시,돼지,point,3.082609480926067,303.52270399455654,64.2210308526264,0.9589322033542244,0.6865586644770298,"남동풍 0.8 m/s Event 정시 기준, 3.1 km, 예상 도달 64분, 방위 일치 0.96"
2020-08-13 00:00:00,4,IKSAN-1166,우리농장,익산시,육계,point,0.8313678804338082,284.8903430150682,17.32016417570434,0.8180527908641939,0.4389746188687822,"남동풍 0.8 m/s Event 정시 기준, 0.8 km, 예상 도달 17분, 방위 일치 0.82"
2020-08-13 00:00:00,5,IKSAN-0138,어울진농장,익산시,돼지,point,4.159915592943306,273.4870604993334,86.66490818631885,0.6881907418491353,0.35240900082281595,"남동풍 0.8 m/s Event 정시 기준, 4.2 km, 예상 도달 87분, 방위 일치 0.69"
