event_id,is_train,event_hour,grid_x,grid_y,target,center_latitude,center_longitude
EVT-0006,True,2019-07-24 08:00:00,-2,-3,0,35.93399625248779,126.96717354857519
EVT-0006,True,2019-07-24 08:00:00,-2,-2,0,35.94304275149267,126.96717354857519
EVT-0006,True,2019-07-24 08:00:00,-2,-1,0,35.95208925049756,126.96717354857519
EVT-0006,True,2019-07-24 08:00:00,-2,0,0,35.96113574950244,126.96717354857519
EVT-0006,True,2019-07-24 08:00:00,-1,-3,0,35.93399625248779,126.97827118285839
EVT-0006,True,2019-07-24 08:00:00,-1,-2,0,35.94304275149267,126.97827118285839
EVT-0006,True,2019-07-24 08:00:00,-1,-1,0,35.95208925049756,126.97827118285839
EVT-0006,True,2019-07-24 08:00:00,-1,0,1,35.96113574950244,126.97827118285839
EVT-0006,True,2019-07-24 08:00:00,-1,1,0,35.97018224850733,126.97827118285839
EVT-0006,True,2019-07-24 08:00:00,0,-3,0,35.93399625248779,126.9893688171416
EVT-0006,True,2019-07-24 08:00:00,0,-2,0,35.94304275149267,126.9893688171416
EVT-0006,True,2019-07-24 08:00:00,0,-1,1,35.95208925049756,126.9893688171416
EVT-0006,True,2019-07-24 08:00:00,0,0,0,35.96113574950244,126.9893688171416
EVT-0006,True,2019-07-24 08:00:00,0,1,0,35.97018224850733,126.9893688171416
EVT-0006,True,2019-07-24 08:00:00,0,2,0,35.97922874751221,126.9893688171416
EVT-0006,True,2019-07-24 08:00:00,1,-2,0,35.94304275149267,127.0004664514248
EVT-0006,True,2019-07-24 08:00:00,1,-1,0,35.95208925049756,127.0004664514248
EVT-0006,True,2019-07-24 08:00:00,1,0,0,35.96113574950244,127.0004664514248
EVT-0006,True,2019-07-24 08:00:00,1,1,1,35.97018224850733,127.0004664514248
EVT-0006,True,2019-07-24 08:00:00,1,2,0,35.97922874751221,127.0004664514248
EVT-0006,True,2019-07-24 08:00:00,2,-2,0,35.94304275149267,127.011564085708
EVT-0006,True,2019-07-24 08:00:00,2,-1,0,35.95208925049756,127.011564085708
EVT-0006,True,2019-07-24 08:00:00,2,0,1,35.96113574950244,127.011564085708
